epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.331951,0.306744,0.894299,0.954005,0.903045,0.911412,12:01
1,1.178014,0.274872,0.907146,0.956241,0.945279,0.928953,12:03
2,1.035775,0.179457,0.937529,0.975922,0.967125,0.954526,11:58
3,0.958710,0.184811,0.941107,0.974545,0.965831,0.955647,12:01
4,0.910576,0.161141,0.946655,0.976314,0.965746,0.958843,12:05
5,0.847438,0.144779,0.950990,0.977922,0.976147,0.964012,12:00
6,0.811921,0.139046,0.953087,0.981497,0.970203,0.964468,12:03
7,0.791004,0.143073,0.951706,0.979025,0.969766,0.963051,11:59
8,0.780517,0.133677,0.957952,0.982383,0.968751,0.966759,12:01
9,0.721739,0.131792,0.955270,0.981888,0.974770,0.966799,12:02
10,0.718800,0.134017,0.955963,0.981205,0.975016,0.967037,11:59
11,0.683762,0.133053,0.958556,0.982973,0.971155,0.967810,12:05
12,0.663073,0.125012,0.959711,0.983385,0.975163,0.969492,12:01
13,0.661024,0.127958,0.959531,0.983962,0.974149,0.969293,12:07
14,0.643342,0.128219,0.958407,0.982304,0.969908,0.967256,12:07
15,0.664784,0.131630,0.959974,0.983230,0.973437,0.969154,12:05
16,0.613106,0.129956,0.959444,0.984197,0.971262,0.968587,12:07
17,0.611039,0.126702,0.959034,0.983850,0.970821,0.968185,12:07
18,0.588193,0.125912,0.961261,0.984706,0.971883,0.969778,12:07
19,0.589005,0.123475,0.959354,0.982980,0.981461,0.970787,12:04
20,0.581438,0.119300,0.963206,0.984103,0.978428,0.972236,12:05
21,0.586799,0.127152,0.960684,0.982200,0.979206,0.970694,12:03
22,0.564551,0.126520,0.961496,0.983399,0.979015,0.971351,12:06
23,0.562400,0.122754,0.963251,0.984381,0.977207,0.972022,12:06
24,0.541414,0.126332,0.962700,0.986125,0.976616,0.972035,12:05
25,0.560017,0.125800,0.960611,0.985208,0.977227,0.970914,12:07
26,0.526538,0.124558,0.962486,0.985130,0.976531,0.971658,12:02
27,0.525427,0.126952,0.962785,0.984728,0.975205,0.971376,12:02
28,0.533191,0.122646,0.961809,0.985225,0.979364,0.972052,12:07
29,0.516792,0.119297,0.962255,0.985705,0.977029,0.971811,12:01
30,0.509095,0.126461,0.961466,0.986524,0.974708,0.971041,12:03
31,0.523875,0.127050,0.959931,0.984521,0.975029,0.969853,12:06
32,0.506231,0.127503,0.961255,0.985321,0.978451,0.971570,12:03
33,0.492157,0.123417,0.962925,0.985692,0.978687,0.972557,12:02
34,0.500155,0.124565,0.963559,0.985599,0.978775,0.972873,12:05
35,0.485357,0.125461,0.961937,0.985531,0.977587,0.971748,12:03
36,0.487188,0.121762,0.962289,0.985028,0.976329,0.971484,12:02
37,0.479487,0.122785,0.962401,0.985632,0.981803,0.973059,12:06
38,0.469492,0.125359,0.962680,0.985376,0.979542,0.972570,12:07
39,0.465050,0.124515,0.961890,0.985644,0.978782,0.972051,12:07
40,0.474015,0.123725,0.962079,0.985532,0.975154,0.971211,12:01
41,0.454422,0.125424,0.962828,0.985909,0.975857,0.971856,12:02
42,0.453011,0.125673,0.962784,0.986114,0.981597,0.973319,12:01
43,0.462465,0.124009,0.963646,0.985460,0.978835,0.972897,12:04
44,0.447626,0.125100,0.964727,0.986690,0.978391,0.973634,12:03
45,0.450198,0.121229,0.963683,0.987068,0.981888,0.974080,12:03
46,0.440981,0.122425,0.964900,0.986174,0.977585,0.973390,12:04
47,0.440676,0.123359,0.964346,0.986866,0.979245,0.973701,12:01
48,0.432691,0.122719,0.965549,0.986879,0.977104,0.973770,12:07
49,0.441223,0.121945,0.964757,0.986874,0.978135,0.973631,12:04
50,0.436117,0.123448,0.964214,0.986719,0.975874,0.972755,12:07
51,0.434171,0.123293,0.964391,0.987045,0.976132,0.972990,12:09
52,0.434177,0.121751,0.964223,0.986778,0.976267,0.972873,12:03
53,0.429392,0.123012,0.964135,0.986870,0.976765,0.972976,12:07
54,0.426867,0.123646,0.965679,0.987106,0.976837,0.973825,12:01
