epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.354018,0.406156,0.842983,0.924481,0.942021,0.888117,16:04
1,1.185271,0.293037,0.901694,0.956087,0.938648,0.924531,16:03
2,1.080569,0.208451,0.931433,0.976174,0.965027,0.951017,16:05
3,0.990788,0.192998,0.939203,0.978271,0.961679,0.954589,16:05
4,0.938661,0.165359,0.945129,0.977432,0.972682,0.960093,16:06
5,0.896341,0.151977,0.949640,0.977125,0.978090,0.963624,16:04
6,0.821919,0.155075,0.953000,0.979472,0.973237,0.964677,16:06
7,0.806160,0.146749,0.951435,0.979082,0.977711,0.964916,16:06
8,0.765637,0.144403,0.951363,0.983733,0.971789,0.964562,16:05
9,0.730734,0.142898,0.953666,0.980960,0.981062,0.967339,16:05
10,0.710922,0.141587,0.953721,0.981054,0.976987,0.966371,16:05
11,0.696677,0.141635,0.956334,0.982047,0.974816,0.967383,16:06
12,0.661018,0.140590,0.955566,0.981831,0.979550,0.968129,16:07
13,0.649356,0.136025,0.955117,0.984946,0.972708,0.966972,16:05
14,0.614333,0.140424,0.956177,0.984282,0.976260,0.968224,16:07
15,0.611534,0.144266,0.953642,0.984654,0.979734,0.967918,16:06
16,0.600062,0.136592,0.958627,0.984649,0.985167,0.971767,16:07
17,0.580953,0.154523,0.948527,0.985800,0.978810,0.965416,16:05
18,0.568916,0.132876,0.958853,0.985553,0.983485,0.971686,16:07
19,0.556497,0.143203,0.955165,0.986890,0.983886,0.970276,16:05
20,0.546297,0.149517,0.953216,0.986204,0.981797,0.968608,16:06
21,0.524414,0.160927,0.950400,0.986682,0.979946,0.966857,16:06
22,0.531805,0.143480,0.955273,0.987176,0.979432,0.969288,16:07
23,0.521928,0.157363,0.951805,0.987081,0.981056,0.967937,16:07
24,0.503579,0.153974,0.953565,0.986834,0.985084,0.969762,16:07
25,0.512251,0.153778,0.956224,0.987032,0.981986,0.970366,16:06
26,0.481778,0.154710,0.951591,0.986883,0.981415,0.967870,16:08
27,0.496322,0.140937,0.958851,0.987561,0.980777,0.971510,16:06
28,0.493103,0.168024,0.944538,0.987063,0.984627,0.965191,16:07
29,0.487276,0.162223,0.948389,0.987316,0.984904,0.967249,16:08
30,0.492826,0.150875,0.951639,0.987086,0.984930,0.968823,16:07
