epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.479470,0.267547,0.890481,0.952656,0.931956,0.916393,10:15
1,1.222065,0.199116,0.925546,0.963592,0.949109,0.940948,10:13
2,1.075423,0.174599,0.930430,0.969054,0.958979,0.947223,10:16
3,1.012654,0.153587,0.940687,0.971624,0.965411,0.954602,10:16
4,0.942071,0.158695,0.936880,0.972653,0.965832,0.953061,10:14
5,0.901284,0.140614,0.944280,0.974355,0.967663,0.957644,10:19
6,0.879189,0.139089,0.945639,0.974364,0.973681,0.959831,10:15
7,0.835060,0.135556,0.948425,0.978571,0.973002,0.962106,10:20
8,0.829099,0.130893,0.949268,0.975782,0.967439,0.960439,10:17
9,0.811416,0.126775,0.949094,0.976927,0.971637,0.961688,10:16
10,0.792912,0.128279,0.951231,0.975983,0.967852,0.961574,10:15
11,0.778520,0.122498,0.951151,0.981769,0.971771,0.963960,10:18
12,0.762549,0.123110,0.947528,0.979951,0.971899,0.961727,10:16
13,0.749752,0.123722,0.949383,0.978551,0.975208,0.963131,10:20
14,0.745115,0.117785,0.952769,0.980082,0.976363,0.965496,10:20
15,0.719742,0.117838,0.952162,0.981892,0.975661,0.965469,10:19
16,0.714261,0.118499,0.953688,0.979567,0.976864,0.965952,10:17
17,0.714501,0.122791,0.952088,0.981138,0.976717,0.965508,10:17
18,0.695966,0.120107,0.952973,0.980406,0.977139,0.965873,10:20
19,0.694947,0.129346,0.948869,0.981095,0.978916,0.964437,10:15
20,0.689581,0.121023,0.951558,0.979949,0.975744,0.964702,10:19
