epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.324374,0.227520,0.895446,0.961041,0.940794,0.923182,10:17
1,1.145348,0.192301,0.914468,0.961932,0.944733,0.933900,10:13
2,1.020740,0.151344,0.931990,0.975145,0.960326,0.949863,10:13
3,0.940082,0.136997,0.938617,0.975343,0.957287,0.952466,10:20
4,0.878267,0.125988,0.942558,0.975896,0.975586,0.959149,10:16
5,0.845123,0.118469,0.946561,0.978783,0.966641,0.959637,10:18
6,0.807366,0.117944,0.944359,0.978308,0.963001,0.957507,10:14
7,0.795374,0.114848,0.949184,0.979848,0.959421,0.959409,10:18
8,0.772888,0.113394,0.947359,0.980403,0.968865,0.960996,10:20
9,0.755938,0.107724,0.948003,0.978427,0.973230,0.961915,10:15
10,0.741759,0.105239,0.947674,0.981162,0.967271,0.960945,10:17
11,0.716125,0.104003,0.948172,0.981621,0.971092,0.962264,10:15
12,0.724291,0.106138,0.949145,0.981172,0.976618,0.964020,10:16
13,0.693487,0.107785,0.948639,0.982235,0.972088,0.962900,10:14
14,0.692164,0.126477,0.947506,0.975745,0.971351,0.960527,10:17
15,0.688155,0.104538,0.951921,0.982041,0.975601,0.965371,10:19
16,0.679190,0.101504,0.953327,0.982251,0.970257,0.964790,10:20
17,0.660738,0.101760,0.952745,0.981299,0.975765,0.965639,10:16
18,0.663589,0.102911,0.951387,0.983381,0.975864,0.965505,10:24
19,0.666370,0.111249,0.947890,0.977179,0.977062,0.962505,10:21
20,0.661424,0.108769,0.952888,0.980652,0.975107,0.965384,10:21
21,0.657491,0.141876,0.953750,0.976797,0.972614,0.964227,10:19
22,0.645837,0.110860,0.955411,0.982900,0.974254,0.966994,10:19
23,0.635637,0.721203,0.953791,0.982190,0.970807,0.965145,10:16
24,0.619566,0.122284,0.954340,0.983243,0.966359,0.964570,10:19
25,0.622877,0.201974,0.953432,0.968634,0.975940,0.962860,10:20
26,0.623770,0.139813,0.953781,0.969143,0.974184,0.962722,10:21
27,0.624357,0.189381,0.950933,0.980925,0.974845,0.964409,10:19
28,0.575040,0.155270,0.957749,0.945638,0.977673,0.959702,10:19
29,0.568991,0.115007,0.958423,0.984430,0.978422,0.969924,10:21
30,0.574787,0.108289,0.958326,0.985326,0.977564,0.969885,10:19
31,0.553981,0.171301,0.959150,0.982756,0.977798,0.969714,10:22
32,0.567459,0.167431,0.959450,0.985817,0.976506,0.970306,10:16
