epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.267094,0.336701,0.871833,0.943448,0.944239,0.907838,10:35
1,1.170988,0.343354,0.908002,0.947485,0.911696,0.918796,10:29
2,1.081198,0.255859,0.923916,0.963594,0.967148,0.944643,10:24
3,1.033862,0.222633,0.937330,0.968679,0.968292,0.952907,10:29
4,1.041413,0.220971,0.941964,0.967896,0.962660,0.953621,10:25
5,0.969769,0.187258,0.945149,0.975302,0.973359,0.959740,10:28
6,0.949332,0.167762,0.944444,0.973877,0.972288,0.958763,10:26
7,0.919876,0.191486,0.949791,0.976178,0.973815,0.962394,10:30
8,0.918805,0.181268,0.949710,0.975196,0.973672,0.962072,10:29
9,0.906821,0.214461,0.949950,0.979998,0.966907,0.961701,10:24
10,0.878372,0.159000,0.953068,0.978006,0.976365,0.965127,10:26
11,0.860984,0.154821,0.951598,0.979746,0.971787,0.963682,10:25
12,0.863205,0.180439,0.952209,0.979793,0.971455,0.963916,10:24
13,0.865761,0.169816,0.950275,0.979224,0.974284,0.963515,10:26
14,0.841178,0.187446,0.952882,0.980669,0.972765,0.964799,10:27
15,0.836418,0.158358,0.951972,0.978464,0.976389,0.964699,10:27
16,0.805922,0.174817,0.954257,0.978753,0.972466,0.964933,10:26
17,0.792891,0.179158,0.954463,0.979727,0.968868,0.964380,10:29
18,0.797891,0.163324,0.952206,0.978054,0.974609,0.964269,10:24
19,0.786064,0.140878,0.951656,0.977266,0.977833,0.964603,10:25
20,0.800849,0.194049,0.952401,0.980797,0.974552,0.965038,10:31
21,0.784988,0.214549,0.952634,0.980853,0.974600,0.965180,10:31
22,0.788784,0.170276,0.951769,0.981528,0.972853,0.964480,10:31
23,0.773840,0.136965,0.953448,0.979169,0.978442,0.966127,10:27
24,0.774443,0.196338,0.952287,0.982408,0.978096,0.966269,10:31
25,0.766536,0.174941,0.953472,0.981295,0.973635,0.965468,10:24
26,0.754044,0.148077,0.953561,0.981287,0.976175,0.966146,10:31
27,0.752286,0.210185,0.952245,0.977709,0.973494,0.963923,10:24
28,0.753568,0.189955,0.951024,0.978524,0.974705,0.963819,10:25
29,0.720224,0.129266,0.955397,0.981364,0.969567,0.965431,10:24
30,0.751651,0.161456,0.951450,0.981766,0.977530,0.965549,10:27
31,0.748899,0.188015,0.956119,0.980930,0.973725,0.966723,10:30
32,0.747334,0.140101,0.957002,0.981142,0.972746,0.966973,10:27
33,0.722613,0.138955,0.953558,0.983431,0.977101,0.966912,10:24
34,0.731192,0.156874,0.953070,0.982506,0.974525,0.965793,10:25
35,0.721802,0.167082,0.956009,0.983148,0.977874,0.968260,10:32
36,0.733556,0.174595,0.955380,0.981253,0.979484,0.967874,10:25
37,0.738374,0.148071,0.953220,0.984717,0.975468,0.966656,10:28
38,0.741650,0.208322,0.953983,0.983727,0.974655,0.966587,10:31
39,0.713149,0.149660,0.953369,0.983907,0.974805,0.966363,10:25
40,0.710546,0.192516,0.955454,0.982661,0.978141,0.967927,10:25
41,0.713550,0.174683,0.954130,0.982519,0.976017,0.966699,10:28
42,0.695973,0.184483,0.950228,0.982099,0.977941,0.965124,10:31
43,0.680891,0.128660,0.956339,0.982029,0.977088,0.967948,10:25
44,0.692150,0.142213,0.958157,0.982997,0.977522,0.969208,10:25
45,0.711437,0.161551,0.953998,0.981202,0.976835,0.966508,10:27
46,0.701195,0.155272,0.955836,0.981270,0.979186,0.968032,10:29
47,0.688523,0.177535,0.954566,0.983329,0.975954,0.967104,10:31
48,0.695983,0.158426,0.955775,0.982343,0.976337,0.967557,10:27
49,0.671065,0.176761,0.955505,0.984907,0.976213,0.968032,10:27
50,0.702969,0.204923,0.954323,0.983061,0.974440,0.966537,10:27
51,0.667068,0.173663,0.956219,0.982734,0.977965,0.968284,10:25
52,0.675282,0.161001,0.955818,0.983308,0.974385,0.967332,10:26
53,0.695971,0.191280,0.956751,0.983828,0.977442,0.968693,10:29
54,0.679136,0.173301,0.956524,0.983735,0.977178,0.968490,10:26
55,0.679154,0.188818,0.954479,0.983888,0.979232,0.968019,10:27
56,0.689209,0.192982,0.956950,0.983418,0.974243,0.967890,10:26
57,0.683742,0.151070,0.955128,0.984502,0.977795,0.968138,10:27
