epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.280539,0.250340,0.876747,0.953633,0.915121,0.905562,10:12
1,1.156382,0.175307,0.913194,0.966076,0.956734,0.937299,10:13
2,1.071943,0.144987,0.928962,0.975032,0.965805,0.949690,10:14
3,1.023274,0.138075,0.936104,0.970691,0.966303,0.952301,10:10
4,1.003101,0.135710,0.937624,0.975134,0.965096,0.953869,10:11
5,0.974399,0.118125,0.944339,0.979853,0.965528,0.958514,10:16
6,0.945620,0.114691,0.946361,0.978160,0.969680,0.960141,10:11
7,0.939565,0.110795,0.945899,0.978063,0.976541,0.961601,10:12
8,0.891780,0.106520,0.954162,0.978832,0.970377,0.964383,10:15
9,0.895500,0.103141,0.950824,0.981153,0.975797,0.964649,10:12
10,0.887579,0.104763,0.949352,0.980878,0.976685,0.964067,10:14
11,0.876748,0.101042,0.952859,0.982768,0.975958,0.966111,10:12
12,0.858180,0.100071,0.952360,0.981246,0.972618,0.964646,10:12
13,0.856066,0.098140,0.953519,0.983722,0.978569,0.967332,10:13
14,0.857881,0.097973,0.952733,0.980531,0.976321,0.965580,10:13
15,0.834533,0.097702,0.954398,0.981899,0.977301,0.966999,10:18
16,0.822833,0.094107,0.956208,0.982423,0.978347,0.968297,10:14
17,0.830871,0.097115,0.953908,0.983747,0.974566,0.966532,10:15
18,0.814568,0.094283,0.953642,0.984663,0.980462,0.968102,10:19
19,0.803056,0.094099,0.954542,0.983979,0.978358,0.967855,10:17
20,0.794341,0.090796,0.956980,0.985328,0.980000,0.969822,10:13
21,0.795985,0.090598,0.956434,0.984270,0.978112,0.968812,10:12
22,0.804945,0.089734,0.954834,0.983946,0.978379,0.967998,10:12
23,0.770446,0.089867,0.955863,0.984824,0.977040,0.968398,10:13
24,0.777163,0.089593,0.955560,0.983928,0.977904,0.968238,10:13
25,0.775455,0.091945,0.954497,0.984306,0.978187,0.967872,10:14
26,0.797682,0.091237,0.955532,0.983300,0.978572,0.968234,10:18
27,0.772524,0.090002,0.955563,0.985389,0.978278,0.968698,10:15
28,0.768722,0.090014,0.956372,0.984290,0.977820,0.968713,10:14
29,0.775925,0.091331,0.953759,0.985721,0.979456,0.968174,10:18
30,0.763576,0.090324,0.955418,0.984988,0.976137,0.967990,10:14
31,0.754642,0.089951,0.954345,0.983869,0.980941,0.968375,10:14
32,0.758152,0.088945,0.955692,0.984155,0.978548,0.968522,10:18
33,0.757943,0.089819,0.955461,0.984077,0.981315,0.969078,10:14
34,0.762564,0.087570,0.957486,0.984870,0.977628,0.969368,10:13
35,0.744549,0.087380,0.956929,0.985713,0.978304,0.969469,10:17
36,0.743423,0.087926,0.957781,0.984004,0.976257,0.968956,10:13
37,0.757775,0.090754,0.957680,0.983249,0.979642,0.969563,10:18
38,0.731496,0.088747,0.956858,0.985328,0.976302,0.968836,10:15
39,0.740401,0.089253,0.956706,0.984897,0.980723,0.969758,10:13
40,0.733773,0.088257,0.957310,0.985141,0.977917,0.969420,10:13
41,0.728002,0.089472,0.957479,0.984163,0.980178,0.969825,10:14
42,0.736273,0.087950,0.957673,0.985106,0.978235,0.969672,10:13
43,0.736772,0.089420,0.958608,0.984390,0.975921,0.969382,10:14
44,0.739972,0.087866,0.957790,0.984412,0.979257,0.969812,10:18
45,0.721134,0.089568,0.957891,0.985302,0.977005,0.969522,10:15
46,0.727307,0.088082,0.960292,0.985380,0.981160,0.971781,10:17
47,0.705753,0.085562,0.960082,0.985806,0.979758,0.971432,10:15
48,0.686298,0.085622,0.957521,0.984444,0.980229,0.969929,10:18
49,0.701951,0.086857,0.958140,0.986120,0.980033,0.970608,10:17
50,0.709198,0.086205,0.959510,0.986211,0.981249,0.971620,10:14
51,0.708684,0.086608,0.959169,0.986154,0.980279,0.971192,10:14
52,0.699015,0.086583,0.959674,0.984794,0.978902,0.970761,10:18
53,0.700604,0.087561,0.957810,0.985354,0.980087,0.970265,10:15
54,0.690668,0.086081,0.959618,0.985029,0.980380,0.971161,10:15
55,0.687800,0.087683,0.958761,0.984032,0.981037,0.970648,10:17
56,0.696093,0.087440,0.957864,0.985185,0.980687,0.970400,10:17
57,0.687664,0.087720,0.957037,0.984845,0.981178,0.970024,10:16
58,0.695663,0.088359,0.957495,0.985325,0.980385,0.970175,10:15
59,0.672514,0.087040,0.958924,0.985032,0.981379,0.971065,10:17
60,0.658006,0.085293,0.960392,0.984860,0.980396,0.971510,10:17
61,0.679748,0.084929,0.959236,0.984845,0.981913,0.971307,10:15
62,0.695692,0.085079,0.960153,0.986004,0.980943,0.971813,10:17
63,0.658568,0.087193,0.959429,0.985196,0.980016,0.971018,10:16
64,0.667016,0.085286,0.958974,0.985399,0.980517,0.970966,10:15
65,0.664305,0.086290,0.959202,0.985316,0.977990,0.970428,10:16
