epoch,train_loss,valid_loss,metric_idx,metric_idx,metric_idx,metric_tot,time
0,1.180550,0.271314,0.890710,0.947214,0.936233,0.916217,10:15
1,1.016799,0.200453,0.918016,0.971073,0.965084,0.943047,10:13
2,0.909540,0.161824,0.938854,0.974411,0.956671,0.952197,10:11
3,0.832914,0.143035,0.944632,0.972987,0.967288,0.957384,10:15
4,0.802501,0.143893,0.943760,0.973468,0.970243,0.957808,10:12
5,0.748496,0.131316,0.944830,0.977437,0.972524,0.959905,10:15
6,0.715165,0.128004,0.948505,0.978409,0.971763,0.961796,10:16
7,0.693540,0.126695,0.947094,0.979548,0.973859,0.961899,10:12
8,0.681838,0.124332,0.945682,0.982812,0.976364,0.962635,10:14
9,0.663404,0.119891,0.949701,0.980388,0.975385,0.963794,10:18
10,0.628511,0.121961,0.951673,0.982216,0.975907,0.965367,10:12
11,0.624391,0.116417,0.952634,0.983057,0.974789,0.965779,10:18
12,0.609734,0.118424,0.954316,0.980653,0.973395,0.965670,10:16
13,0.602395,0.119966,0.950532,0.983476,0.975284,0.964956,10:15
14,0.600934,0.119325,0.953661,0.976962,0.976606,0.965223,10:12
15,0.578289,0.120825,0.951716,0.983252,0.974977,0.965415,10:16
16,0.568829,0.121812,0.953599,0.981790,0.976747,0.966434,10:18
17,0.562538,0.116106,0.954795,0.983798,0.977910,0.967824,10:14
18,0.559260,0.117151,0.953577,0.981992,0.970576,0.964931,10:13
19,0.559760,0.118519,0.954389,0.982730,0.976601,0.967027,10:16
20,0.532552,0.115430,0.956238,0.983434,0.977161,0.968268,10:13
21,0.532342,0.120777,0.953188,0.982192,0.976382,0.966238,10:13
