epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.494431,1.079957,0.337120,0.715991,0.602585,0.498204,04:08
1,0.775273,0.313020,0.805197,0.941468,0.884263,0.859032,04:07
2,0.627270,0.227213,0.890720,0.957375,0.939805,0.919655,04:07
3,0.648132,0.208027,0.902106,0.957774,0.942827,0.926203,04:07
4,0.513063,0.192133,0.906047,0.965554,0.931124,0.927193,04:07
5,0.413470,0.243982,0.907943,0.970534,0.939689,0.931527,04:07
6,0.379866,0.169365,0.914509,0.974890,0.969686,0.943399,04:07
7,0.448235,0.163302,0.919567,0.972121,0.973961,0.946304,04:08
8,0.500977,0.141513,0.928911,0.977289,0.971370,0.951620,04:08
9,0.410275,0.123706,0.941141,0.978651,0.977527,0.959615,04:07
10,0.329206,0.132478,0.939315,0.973321,0.972670,0.956156,04:07
11,0.305158,0.117664,0.939672,0.980956,0.975269,0.958892,04:07
12,0.305825,0.114282,0.941693,0.981704,0.977395,0.960621,04:08
13,0.309760,0.115565,0.944886,0.981452,0.972618,0.960960,04:08
14,0.301159,0.108035,0.946877,0.983149,0.978365,0.963817,04:08
15,0.360755,0.104636,0.950176,0.982942,0.978019,0.965328,04:07
16,0.263443,0.110940,0.947118,0.983084,0.976219,0.963385,04:08
17,0.284298,0.106035,0.950602,0.985703,0.977995,0.966225,04:07
18,0.295587,0.112898,0.948163,0.982458,0.970792,0.962394,04:08
19,0.270595,0.106644,0.951262,0.984733,0.971483,0.964685,04:07
20,0.343056,0.112051,0.947802,0.983944,0.978464,0.964503,04:07
21,0.267380,0.103926,0.953498,0.984828,0.977084,0.967227,04:07
22,0.186103,0.107661,0.955534,0.983930,0.973096,0.967024,04:08
23,0.312939,0.100230,0.953896,0.985003,0.980614,0.968352,04:07
24,0.277276,0.099365,0.953752,0.984178,0.980065,0.967937,04:07
25,0.248090,0.109217,0.948999,0.985416,0.977590,0.965251,04:07
26,0.239363,0.103165,0.954494,0.984924,0.979912,0.968456,04:07
27,0.297433,0.100370,0.954999,0.983646,0.981071,0.968679,04:07
28,0.225665,0.106167,0.955217,0.986665,0.980341,0.969360,04:07
29,0.248388,0.099202,0.956980,0.986027,0.979461,0.969862,04:07
30,0.182872,0.100872,0.956800,0.986041,0.978335,0.969494,04:07
31,0.261731,0.106874,0.957956,0.985107,0.977453,0.969618,04:07
32,0.253970,0.102255,0.956006,0.985415,0.982624,0.970012,04:08
33,0.286051,0.103386,0.955049,0.986082,0.979405,0.968896,04:07
34,0.275036,0.098135,0.956907,0.981767,0.980649,0.969057,04:07
35,0.281687,0.096283,0.956873,0.986134,0.981942,0.970455,04:07
36,0.207807,0.100265,0.955209,0.986294,0.983374,0.970021,04:07
37,0.290748,0.100254,0.957802,0.984547,0.978357,0.969627,04:07
38,0.236697,0.102208,0.957360,0.985390,0.981990,0.970525,04:07
39,0.292073,0.103685,0.957271,0.985478,0.980197,0.970055,04:08
40,0.242923,0.099171,0.957096,0.987422,0.980065,0.970420,04:07
41,0.252691,0.097573,0.957780,0.985649,0.979941,0.970287,04:07
42,0.217749,0.101448,0.957843,0.986340,0.979215,0.970311,04:07
43,0.207056,0.102658,0.959404,0.986426,0.981461,0.971674,04:08
44,0.247915,0.100859,0.957190,0.986530,0.978108,0.969754,04:08
45,0.268466,0.099024,0.959563,0.986442,0.980701,0.971567,04:07
46,0.194004,0.101345,0.956814,0.986508,0.980496,0.970158,04:07
47,0.208313,0.097506,0.959133,0.987096,0.980227,0.971397,04:07
48,0.198303,0.100637,0.959192,0.986053,0.981087,0.971381,04:07
49,0.185909,0.109034,0.952989,0.986990,0.980956,0.968481,04:08
50,0.223959,0.097848,0.960728,0.986019,0.979433,0.971727,04:07
