epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.150857,0.326357,0.890048,0.940138,0.916406,0.909160,04:12
1,0.878734,0.206096,0.907613,0.968124,0.962683,0.936508,04:12
2,0.789924,0.179744,0.928063,0.973689,0.958474,0.947072,04:12
3,0.749269,0.149280,0.938114,0.974764,0.969988,0.955245,04:13
4,0.647636,0.134364,0.939270,0.977332,0.969041,0.956228,04:12
5,0.857126,0.179218,0.941038,0.976419,0.970730,0.957306,04:12
6,0.786525,0.126510,0.940365,0.980677,0.972240,0.958412,04:12
7,0.702508,0.132273,0.942116,0.975838,0.968286,0.957089,04:12
8,0.745491,0.137560,0.941621,0.981204,0.979851,0.961075,04:12
9,0.662820,0.116862,0.947570,0.983781,0.980290,0.964803,04:12
10,0.702576,0.112644,0.950902,0.982773,0.977823,0.965600,04:12
11,0.712502,0.129878,0.945307,0.984028,0.973476,0.962030,04:13
12,0.576092,0.108823,0.950396,0.982467,0.979464,0.965680,04:12
13,0.701170,0.122507,0.952502,0.985470,0.979661,0.967534,04:12
14,0.716469,0.128204,0.951347,0.981997,0.980111,0.966201,04:12
15,0.690676,0.109971,0.953232,0.982581,0.978891,0.966984,04:13
16,0.698473,0.125066,0.950441,0.984250,0.982096,0.966807,04:13
17,0.633173,0.114716,0.953674,0.983559,0.975473,0.966595,04:12
