epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.898644,1.213672,0.540861,0.818983,0.740486,0.660298,02:56
1,1.215260,0.516282,0.807879,0.929122,0.857909,0.850697,02:54
2,1.060985,0.366123,0.855160,0.946746,0.915456,0.893131,02:54
3,0.887828,0.301262,0.875116,0.948405,0.952632,0.912817,02:55
4,0.871303,0.306310,0.880265,0.950388,0.930457,0.910343,02:55
5,0.820004,0.253339,0.902318,0.964497,0.949162,0.929574,02:55
6,0.747119,0.238423,0.904505,0.963090,0.947391,0.929873,02:55
7,0.747703,0.257591,0.914851,0.950947,0.944372,0.931255,02:55
8,0.590928,0.204779,0.918705,0.973366,0.949518,0.940073,02:55
9,0.667613,0.193013,0.927176,0.975015,0.939067,0.942108,02:55
10,0.754234,0.201715,0.937696,0.974041,0.960289,0.952431,02:55
11,0.678984,0.216804,0.937481,0.972929,0.934289,0.945545,02:55
12,0.671169,0.166756,0.934964,0.978803,0.950909,0.949910,02:55
13,0.614551,0.159021,0.937006,0.977541,0.953869,0.951355,02:55
14,0.621754,0.162094,0.945513,0.980514,0.959027,0.957642,02:55
15,0.561175,0.134899,0.948320,0.981571,0.963802,0.960503,02:55
16,0.614388,0.145078,0.944373,0.981012,0.956162,0.956480,02:55
17,0.559506,0.137999,0.947718,0.981200,0.964870,0.960377,02:55
18,0.547402,0.148178,0.947811,0.981975,0.965247,0.960711,02:55
19,0.572464,0.139639,0.950096,0.983822,0.961997,0.961503,02:55
20,0.640133,0.161277,0.950467,0.982903,0.965288,0.962281,02:55
21,0.564491,0.144306,0.952567,0.981825,0.960764,0.961931,02:55
22,0.616132,0.137952,0.952717,0.985194,0.970169,0.965199,02:56
23,0.563814,0.142164,0.950778,0.985496,0.968514,0.963891,02:55
24,0.564508,0.141661,0.951574,0.985375,0.964963,0.963372,02:55
25,0.554850,0.123550,0.954320,0.982337,0.971443,0.965605,02:55
26,0.492268,0.137913,0.953263,0.985189,0.970197,0.965478,02:55
27,0.491707,0.123033,0.953886,0.984640,0.972697,0.966277,02:55
28,0.631512,0.155553,0.949675,0.982901,0.964800,0.961763,02:55
29,0.485017,0.119459,0.952879,0.985592,0.967035,0.964596,02:55
30,0.594314,0.134112,0.950638,0.985512,0.977905,0.966173,02:55
31,0.581732,0.138657,0.952885,0.982010,0.962249,0.962507,02:55
32,0.518870,0.124640,0.952238,0.985322,0.970694,0.965123,02:56
33,0.517366,0.130726,0.955115,0.986867,0.976214,0.968328,02:56
34,0.442445,0.110260,0.954943,0.985001,0.971296,0.966546,02:55
35,0.500956,0.142224,0.954956,0.987218,0.965763,0.965724,02:56
36,0.483980,0.127101,0.950724,0.979703,0.967073,0.962056,02:55
37,0.545239,0.127755,0.956783,0.985739,0.968603,0.966977,02:55
38,0.562051,0.145466,0.958345,0.986242,0.970158,0.968273,02:55
39,0.558267,0.145382,0.951501,0.985250,0.963461,0.962928,02:55
40,0.509694,0.116879,0.956282,0.985282,0.970041,0.966972,02:55
41,0.472549,0.122985,0.954145,0.985332,0.975293,0.967229,02:55
42,0.497036,0.113360,0.956306,0.987369,0.969136,0.967279,02:55
43,0.412558,0.115886,0.951980,0.983415,0.969930,0.964326,02:55
44,0.479762,0.113342,0.955800,0.984819,0.965626,0.965511,02:55
45,0.547622,0.141744,0.956282,0.987602,0.967736,0.966976,02:55
46,0.501678,0.139827,0.956423,0.982924,0.964739,0.965127,02:55
47,0.472139,0.119305,0.956902,0.986345,0.968417,0.967141,02:55
48,0.558177,0.131761,0.958768,0.986834,0.971225,0.968899,02:55
49,0.503791,0.145617,0.956370,0.984151,0.969678,0.966642,02:55
50,0.478859,0.135660,0.955473,0.986462,0.971058,0.967116,02:55
51,0.455479,0.114797,0.956762,0.986487,0.959473,0.964871,02:55
52,0.439946,0.113395,0.957508,0.986376,0.967435,0.967207,02:55
53,0.520551,0.120461,0.956100,0.987467,0.969050,0.967179,02:55
54,0.480200,0.127243,0.957411,0.985595,0.967196,0.966903,02:55
55,0.425140,0.112561,0.956121,0.985251,0.965416,0.965727,02:55
56,0.545866,0.142215,0.957382,0.985893,0.971014,0.967918,02:55
57,0.543702,0.156059,0.955390,0.987645,0.967974,0.966600,02:55
58,0.443074,0.112582,0.957731,0.987678,0.963042,0.966545,02:55
59,0.509768,0.121330,0.957784,0.986217,0.973085,0.968717,02:55
60,0.477501,0.130388,0.957810,0.986170,0.969374,0.967791,02:55
61,0.502842,0.113658,0.957030,0.986676,0.969660,0.967599,02:55
62,0.448237,0.150353,0.947573,0.977472,0.942316,0.953734,02:55
63,0.496675,0.130748,0.954698,0.983837,0.963191,0.964106,02:55
64,0.405763,0.116164,0.958286,0.985148,0.967691,0.967353,02:55
65,0.510033,0.129064,0.959522,0.986392,0.973450,0.969721,02:55
66,0.486235,0.122777,0.957959,0.986815,0.970093,0.968206,02:56
67,0.493727,0.118853,0.958737,0.985300,0.965916,0.967173,02:55
