epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.835257,0.331100,0.841670,0.956482,0.921521,0.890335,04:20
1,0.715758,0.177494,0.925588,0.972624,0.961684,0.946371,04:20
2,0.681311,0.182900,0.926679,0.968623,0.940791,0.940693,04:20
3,0.579674,0.158192,0.932860,0.974560,0.961527,0.950452,04:20
4,0.609788,0.155801,0.933679,0.980766,0.975281,0.955851,04:20
5,0.606061,0.143215,0.935736,0.978428,0.965476,0.953844,04:20
6,0.521708,0.130958,0.934582,0.980553,0.982110,0.957957,04:20
7,0.561277,0.130939,0.940834,0.981988,0.975736,0.959848,04:21
8,0.438350,0.112691,0.949277,0.975309,0.981552,0.963853,04:20
9,0.525598,0.126624,0.944405,0.981312,0.980180,0.962575,04:20
10,0.631150,0.151282,0.944395,0.981868,0.981250,0.962977,04:21
11,0.541094,0.119623,0.949472,0.981868,0.980862,0.965419,04:21
12,0.548859,0.125188,0.943938,0.983119,0.977731,0.962181,04:21
13,0.509452,0.102971,0.950549,0.983803,0.981092,0.966498,04:21
14,0.514318,0.104526,0.954799,0.984362,0.981896,0.968964,04:21
15,0.485498,0.100400,0.953399,0.981095,0.985270,0.968290,04:21
16,0.482690,0.093960,0.956633,0.984701,0.980074,0.969510,04:21
17,0.465701,0.100289,0.954024,0.981478,0.981267,0.967698,04:21
18,0.448782,0.105712,0.953743,0.984043,0.982692,0.968555,04:21
19,0.497779,0.107225,0.952269,0.984406,0.981779,0.967681,04:21
20,0.548461,0.112930,0.956140,0.982722,0.984610,0.969903,04:20
21,0.500008,0.115862,0.954154,0.982019,0.983540,0.968467,04:21
22,0.562454,0.105264,0.954924,0.983202,0.981245,0.968574,04:21
23,0.445795,0.093828,0.960973,0.986028,0.984292,0.973067,04:21
24,0.464320,0.100287,0.960966,0.985986,0.985311,0.973307,04:20
25,0.438315,0.087513,0.960469,0.986984,0.983902,0.972956,04:21
26,0.388933,0.095785,0.961561,0.985290,0.984835,0.973312,04:21
27,0.396757,0.087564,0.962375,0.986803,0.981152,0.973176,04:20
28,0.493509,0.097070,0.960907,0.987244,0.983374,0.973108,04:21
29,0.408589,0.087905,0.960008,0.985166,0.984924,0.972527,04:20
30,0.509208,0.096221,0.961783,0.985426,0.981649,0.972660,04:20
31,0.469116,0.091224,0.961566,0.984756,0.986189,0.973519,04:21
32,0.417184,0.085911,0.963519,0.986798,0.982111,0.973987,04:21
33,0.425881,0.097792,0.962141,0.985649,0.981767,0.972925,04:21
34,0.346787,0.083458,0.963461,0.985911,0.986123,0.974739,04:21
35,0.402445,0.094397,0.962858,0.984944,0.986879,0.974384,04:20
36,0.379115,0.085862,0.962438,0.985889,0.985274,0.974010,04:21
37,0.442705,0.083138,0.964688,0.986203,0.986543,0.975531,04:21
38,0.410150,0.083062,0.964297,0.986956,0.986141,0.975423,04:21
39,0.430099,0.089751,0.963415,0.986785,0.984386,0.974500,04:21
40,0.419140,0.082149,0.962605,0.986538,0.987228,0.974744,04:21
41,0.380200,0.083380,0.963457,0.986869,0.985045,0.974707,04:21
42,0.410468,0.082111,0.964050,0.985205,0.986491,0.974949,04:21
43,0.356757,0.080390,0.964473,0.986777,0.986944,0.975667,04:21
44,0.389694,0.081471,0.965278,0.986629,0.987190,0.976094,04:21
45,0.437310,0.097641,0.962394,0.986989,0.985924,0.974426,04:21
46,0.415020,0.097138,0.962312,0.985902,0.985870,0.974099,04:21
47,0.403067,0.084466,0.964184,0.986704,0.984973,0.975011,04:21
48,0.463747,0.085800,0.964529,0.986262,0.985310,0.975158,04:21
49,0.422033,0.104806,0.961273,0.987140,0.986307,0.973998,04:21
50,0.405997,0.090121,0.962315,0.986364,0.986865,0.974465,04:21
