epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.902227,0.279654,0.869093,0.949631,0.931385,0.904801,04:01
1,0.705436,0.193452,0.908856,0.963872,0.954075,0.933915,04:01
2,0.644165,0.173751,0.920711,0.979150,0.965937,0.946627,04:01
3,0.568166,0.145442,0.931171,0.977666,0.971367,0.952844,04:00
4,0.485643,0.138920,0.928419,0.975994,0.970223,0.950764,04:01
5,0.643716,0.161507,0.938761,0.977900,0.968397,0.955955,04:02
6,0.601451,0.128462,0.938871,0.980709,0.969624,0.957019,04:01
7,0.522808,0.126662,0.938782,0.982964,0.974938,0.958867,04:02
8,0.551358,0.127703,0.940031,0.977888,0.976063,0.958503,04:02
9,0.510845,0.126717,0.942454,0.982223,0.976024,0.960789,04:02
