epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,2.586931,2.225405,0.055365,0.560943,0.337380,0.252263,03:51
1,1.598051,1.028398,0.386768,0.786276,0.599055,0.539717,03:49
2,1.144129,0.584655,0.658232,0.882178,0.856192,0.763709,03:49
3,1.071481,0.459307,0.746666,0.889407,0.800117,0.795714,03:50
4,0.875118,0.357026,0.801792,0.933997,0.907062,0.861161,03:51
5,0.737842,0.360313,0.829837,0.926419,0.948609,0.883675,03:51
6,0.664602,0.295902,0.857549,0.926139,0.946702,0.896985,03:51
7,0.717755,0.232501,0.898229,0.953918,0.936614,0.921748,03:51
8,0.718226,0.231411,0.883539,0.943648,0.945246,0.913993,03:51
9,0.625672,0.219378,0.893861,0.945777,0.959080,0.923144,03:51
10,0.525468,0.163620,0.919205,0.972419,0.970209,0.945259,03:51
11,0.506561,0.158381,0.916387,0.973038,0.957247,0.940765,03:51
12,0.508770,0.170606,0.912965,0.964118,0.968480,0.939632,03:51
13,0.503085,0.145847,0.927834,0.973390,0.963597,0.948164,03:51
14,0.477685,0.131760,0.929383,0.976317,0.966263,0.950337,03:51
15,0.557601,0.133103,0.936124,0.980362,0.966699,0.954827,03:51
16,0.448188,0.144262,0.923361,0.972468,0.968938,0.947032,03:51
17,0.460828,0.129104,0.935492,0.979386,0.975518,0.956472,03:51
18,0.470522,0.133312,0.933853,0.975967,0.968405,0.953020,03:51
19,0.437025,0.128985,0.937972,0.977027,0.972156,0.956282,03:51
20,0.502219,0.132920,0.939833,0.978963,0.972744,0.957843,03:51
21,0.426139,0.119753,0.941311,0.978563,0.975919,0.959276,03:51
22,0.355815,0.114113,0.944889,0.976335,0.973885,0.960000,03:51
23,0.476934,0.124561,0.936227,0.978903,0.971368,0.955681,03:51
24,0.447417,0.121011,0.937529,0.981030,0.976466,0.958138,03:51
25,0.405217,0.109391,0.946516,0.982760,0.977692,0.963371,03:51
26,0.416642,0.116383,0.941127,0.976457,0.969229,0.956985,03:51
27,0.452813,0.118172,0.942469,0.980510,0.975683,0.960283,03:51
28,0.359622,0.111687,0.944595,0.982060,0.977695,0.962236,03:51
29,0.403081,0.108296,0.947666,0.982449,0.976893,0.963669,03:51
30,0.344335,0.103569,0.950046,0.980205,0.980173,0.965117,03:51
31,0.420011,0.110535,0.947298,0.983463,0.979283,0.964336,03:51
32,0.401120,0.106330,0.950626,0.983993,0.973440,0.964671,03:51
33,0.438164,0.106870,0.947708,0.981850,0.976649,0.963478,03:51
34,0.425194,0.104755,0.948618,0.982589,0.975658,0.963871,03:51
35,0.436961,0.100667,0.950202,0.983630,0.975902,0.964984,03:51
36,0.355528,0.105603,0.949355,0.982716,0.980569,0.965499,03:51
37,0.442078,0.111409,0.948191,0.983379,0.975700,0.963865,03:51
38,0.385808,0.101305,0.950841,0.982060,0.977158,0.965225,03:51
39,0.437104,0.103794,0.946914,0.980137,0.980621,0.963646,03:51
40,0.396932,0.109137,0.947621,0.977785,0.975346,0.962093,03:51
41,0.400748,0.100172,0.953451,0.984980,0.978657,0.967635,03:51
42,0.377160,0.106539,0.948400,0.983040,0.972781,0.963156,03:51
43,0.341247,0.097294,0.951140,0.985479,0.979239,0.966749,03:51
44,0.375684,0.102954,0.952357,0.981298,0.976212,0.965556,03:51
45,0.426875,0.103716,0.951123,0.984495,0.979519,0.966565,03:51
46,0.326411,0.095024,0.952071,0.986001,0.979302,0.967361,03:51
47,0.337722,0.099203,0.952074,0.984816,0.978360,0.966831,03:51
48,0.339076,0.096079,0.954074,0.986099,0.978693,0.968235,03:51
49,0.323420,0.096252,0.952967,0.985677,0.981911,0.968380,03:51
50,0.365096,0.100292,0.951288,0.983738,0.981053,0.966842,03:51
51,0.380590,0.098382,0.953372,0.985242,0.978082,0.967517,03:51
52,0.326292,0.096064,0.952019,0.985467,0.981443,0.967737,03:51
53,0.320954,0.095360,0.952589,0.983520,0.979793,0.967122,03:51
54,0.349060,0.095443,0.952771,0.983492,0.981396,0.967608,03:51
55,0.394088,0.097955,0.951764,0.985012,0.980660,0.967300,03:51
56,0.334887,0.096288,0.952858,0.984883,0.978800,0.967350,03:51
57,0.308911,0.094865,0.954175,0.983549,0.979113,0.967753,03:51
58,0.410656,0.095756,0.954370,0.984517,0.979741,0.968249,03:51
59,0.365306,0.093413,0.955725,0.984955,0.980811,0.969304,03:51
60,0.344047,0.095166,0.954545,0.985123,0.978475,0.968172,03:51
61,0.362888,0.095426,0.956385,0.985825,0.980459,0.969763,03:51
62,0.311884,0.095625,0.953450,0.985394,0.980825,0.968280,03:51
63,0.288561,0.093404,0.953645,0.985712,0.980159,0.968290,03:51
64,0.265657,0.091872,0.954664,0.986324,0.983701,0.969838,03:51
65,0.268258,0.093253,0.955814,0.985524,0.980617,0.969442,03:52
66,0.286255,0.091299,0.954650,0.985517,0.979091,0.968477,03:51
67,0.341244,0.093052,0.957570,0.984218,0.978020,0.969344,03:51
68,0.361149,0.091287,0.955442,0.986653,0.979853,0.969347,03:51
69,0.358357,0.091599,0.957180,0.984907,0.981185,0.970113,03:51
70,0.404097,0.088957,0.955939,0.984672,0.980792,0.969336,03:51
71,0.333753,0.094747,0.955657,0.985179,0.980942,0.969359,03:51
72,0.303240,0.092311,0.955421,0.985863,0.980900,0.969401,03:51
73,0.342698,0.090954,0.956621,0.986126,0.980619,0.969997,03:51
74,0.352520,0.091793,0.956298,0.986497,0.983633,0.970681,03:51
75,0.282403,0.090508,0.955257,0.985346,0.982974,0.969708,03:51
76,0.332684,0.091362,0.957393,0.985857,0.981752,0.970599,03:51
77,0.281869,0.087001,0.956955,0.986222,0.983157,0.970822,03:51
78,0.283484,0.094323,0.956535,0.986268,0.981354,0.970173,03:51
79,0.278216,0.089479,0.959618,0.985559,0.983432,0.972057,03:51
80,0.329860,0.088626,0.957094,0.986234,0.981632,0.970514,03:51
