epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.396283,0.469437,0.806503,0.920089,0.821694,0.838697,06:54
1,1.324476,0.394505,0.819539,0.943866,0.885079,0.867006,06:51
2,1.262800,0.455794,0.797360,0.933694,0.887839,0.854063,06:52
3,1.212676,0.269465,0.882839,0.944676,0.897684,0.902010,06:51
4,1.162866,0.241329,0.879852,0.954597,0.954878,0.917295,06:51
5,1.114615,0.230937,0.898711,0.960484,0.929760,0.921917,06:51
6,1.082105,0.207908,0.906127,0.960428,0.918281,0.922741,06:53
7,1.029811,0.185910,0.901495,0.965843,0.943894,0.928182,06:53
8,0.979431,0.158762,0.928632,0.971551,0.951221,0.945009,06:52
9,0.939057,0.146720,0.932197,0.973648,0.967444,0.951371,06:53
10,0.892512,0.142098,0.934056,0.977802,0.959986,0.951475,06:53
11,0.876774,0.141844,0.940567,0.976278,0.949744,0.951789,06:53
12,0.851589,0.130335,0.941086,0.978715,0.966380,0.956817,06:52
13,0.844402,0.126222,0.942992,0.974878,0.965347,0.956552,06:53
14,0.830645,0.125783,0.943435,0.979262,0.963052,0.957296,06:52
15,0.807877,0.120416,0.947909,0.982980,0.963908,0.960677,06:52
16,0.802865,0.116646,0.945083,0.980529,0.968445,0.959785,06:52
17,0.792601,0.121593,0.943265,0.979623,0.955706,0.955465,06:52
18,0.755445,0.113531,0.948229,0.977177,0.969559,0.960798,06:52
19,0.758453,0.107643,0.951060,0.981943,0.971777,0.963960,06:53
20,0.728577,0.117203,0.951485,0.981267,0.961396,0.961408,06:53
21,0.748364,0.115973,0.953157,0.974921,0.947886,0.957280,06:52
22,0.733758,0.107456,0.950745,0.982431,0.966372,0.962573,06:52
23,0.720971,0.104012,0.952346,0.982010,0.960307,0.961752,06:51
24,0.718666,0.105453,0.955412,0.976638,0.971050,0.964628,06:52
25,0.728786,0.108755,0.955418,0.984696,0.966430,0.965490,06:52
26,0.705977,0.105742,0.951951,0.982329,0.966070,0.963075,06:53
27,0.701939,0.105860,0.950962,0.981923,0.972435,0.964070,06:52
28,0.697788,0.100765,0.955330,0.984288,0.974335,0.967321,06:52
29,0.693171,0.103850,0.955542,0.984039,0.965262,0.965096,06:53
30,0.685989,0.131550,0.954007,0.946772,0.971095,0.956470,06:52
31,0.660261,0.103683,0.950856,0.984455,0.973205,0.964843,06:52
32,0.661226,0.102896,0.954012,0.982747,0.972102,0.965718,06:53
33,0.678728,0.115981,0.953678,0.967770,0.972550,0.961919,06:52
34,0.652940,0.101772,0.954360,0.981051,0.969047,0.964704,06:52
35,0.648006,0.096422,0.955501,0.982194,0.975827,0.967256,06:53
36,0.641903,0.101770,0.950384,0.983764,0.965149,0.962420,06:53
37,0.639956,0.094658,0.958180,0.986078,0.970175,0.968153,06:52
38,0.640117,0.100783,0.954740,0.986276,0.971024,0.966695,06:53
39,0.630018,0.095553,0.960538,0.983450,0.967025,0.967888,06:52
40,0.627276,0.097208,0.957632,0.984448,0.969500,0.967303,06:52
41,0.623094,0.098233,0.951526,0.984245,0.974519,0.965454,06:52
42,0.619990,0.096622,0.958132,0.984011,0.971386,0.967915,06:52
43,0.623100,0.097796,0.956393,0.985946,0.969545,0.967069,06:53
44,0.622752,0.097026,0.957554,0.986034,0.965524,0.966667,06:53
45,0.601065,0.098266,0.956284,0.986131,0.967673,0.966593,06:52
46,0.601344,0.090954,0.959259,0.986087,0.972330,0.969234,06:52
47,0.602035,0.096172,0.956722,0.986274,0.973933,0.968413,06:53
48,0.594887,0.096849,0.956994,0.985165,0.970279,0.967358,06:52
49,0.600393,0.094601,0.958811,0.985635,0.973569,0.969206,06:53
50,0.606098,0.099409,0.954750,0.984764,0.972129,0.966599,06:52
51,0.606095,0.095955,0.958695,0.984285,0.970438,0.968028,06:52
52,0.602164,0.097526,0.958912,0.983449,0.972548,0.968455,06:53
53,0.590202,0.097704,0.952563,0.985097,0.971493,0.965429,06:53
54,0.591709,0.092902,0.957227,0.986685,0.976034,0.969293,06:53
55,0.580923,0.096947,0.956200,0.986763,0.973610,0.968193,06:52
56,0.580914,0.096301,0.955581,0.985652,0.977389,0.968551,06:53
57,0.575740,0.094605,0.955819,0.985937,0.976602,0.968544,06:53
