epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,2.338855,1.612936,0.401272,0.709029,0.624469,0.534010,06:44
1,1.532924,0.514269,0.787543,0.923235,0.769834,0.817039,06:41
2,1.326931,0.320844,0.882787,0.954147,0.896268,0.903998,06:41
3,1.203152,0.296016,0.897605,0.962890,0.921190,0.919822,06:41
4,1.137510,0.241619,0.904079,0.969274,0.960729,0.934540,06:41
5,1.088635,0.245440,0.918776,0.968686,0.933216,0.934864,06:41
6,1.066792,0.225178,0.924644,0.972432,0.954020,0.943935,06:41
7,1.033007,0.217137,0.927371,0.975923,0.950349,0.945253,06:41
8,1.025947,0.216622,0.940755,0.978385,0.953838,0.953433,06:41
9,0.948289,0.165010,0.943322,0.977851,0.967579,0.958019,06:41
10,0.902061,0.139823,0.945500,0.977024,0.969590,0.959404,06:42
11,0.886446,0.159907,0.948583,0.979697,0.960027,0.959222,06:42
12,0.882275,0.183147,0.950372,0.982946,0.956300,0.959998,06:42
13,0.876939,0.183976,0.946808,0.978163,0.968081,0.959965,06:42
14,0.870398,0.162314,0.948348,0.982135,0.963104,0.960484,06:42
15,0.869071,0.188455,0.953952,0.982989,0.968454,0.964837,06:42
16,0.840991,0.197838,0.951935,0.981179,0.974684,0.964933,06:42
17,0.843841,0.178082,0.952431,0.981957,0.975447,0.965566,06:42
18,0.854236,0.180565,0.952189,0.982865,0.958032,0.961319,06:42
19,0.843450,0.177883,0.955066,0.979976,0.964506,0.963654,06:42
20,0.779701,0.140301,0.952324,0.983704,0.962562,0.962729,06:42
21,0.803715,0.160029,0.954404,0.981789,0.965159,0.963939,06:42
22,0.778477,0.160843,0.952517,0.982079,0.961389,0.962125,06:42
23,0.792992,0.157262,0.957898,0.984122,0.965688,0.966402,06:42
24,0.809875,0.175366,0.958747,0.983541,0.962010,0.965761,06:42
25,0.801011,0.173568,0.956290,0.985369,0.969901,0.966963,06:42
26,0.800285,0.170807,0.955016,0.985482,0.970439,0.966488,06:42
27,0.805296,0.175690,0.957318,0.985211,0.971758,0.967901,06:42
28,0.733363,0.147888,0.959533,0.985480,0.970557,0.968776,06:42
29,0.790760,0.185001,0.959134,0.984763,0.955073,0.964526,06:42
30,0.734342,0.151700,0.959402,0.983484,0.960791,0.965770,06:42
31,0.760598,0.139238,0.961934,0.986379,0.966056,0.969076,06:42
32,0.772616,0.169721,0.959410,0.984252,0.969305,0.968094,06:42
33,0.753021,0.159744,0.960879,0.986372,0.975493,0.970906,06:42
34,0.787340,0.194750,0.958784,0.984216,0.964734,0.966630,06:43
35,0.757686,0.156060,0.960699,0.984694,0.974025,0.970029,06:43
36,0.743208,0.170615,0.960858,0.984645,0.969924,0.969071,06:43
37,0.717806,0.163750,0.962063,0.984060,0.967197,0.968846,06:43
38,0.734306,0.181798,0.961478,0.986630,0.965072,0.968664,06:43
39,0.710125,0.158765,0.963111,0.986787,0.966875,0.969971,06:43
40,0.719170,0.172982,0.964112,0.985355,0.969937,0.970879,06:43
41,0.734871,0.181495,0.963454,0.985356,0.972137,0.971100,06:43
42,0.741778,0.173552,0.963515,0.986616,0.965443,0.969772,06:42
43,0.769531,0.200615,0.963641,0.986179,0.969863,0.970831,06:43
44,0.718065,0.178602,0.964518,0.987255,0.967288,0.970895,06:43
45,0.708649,0.159563,0.963045,0.986559,0.970715,0.970841,06:42
