epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.364468,0.134415,0.969447,0.988597,0.976035,0.975881,06:39
1,0.336067,0.110816,0.969505,0.989894,0.973487,0.975598,06:36
2,0.339194,0.116638,0.969165,0.988783,0.975622,0.975684,06:36
3,0.311825,0.102193,0.969901,0.989048,0.978849,0.976925,06:36
4,0.331639,0.106029,0.969352,0.988404,0.979856,0.976741,06:37
5,0.349555,0.108459,0.968788,0.988586,0.979715,0.976469,06:37
6,0.311129,0.101832,0.969994,0.988678,0.982370,0.977759,06:37
7,0.347016,0.109855,0.968855,0.988705,0.978855,0.976318,06:37
8,0.251586,0.099446,0.969399,0.989415,0.981608,0.977455,06:37
9,0.313191,0.101243,0.969148,0.988497,0.980878,0.976917,06:37
10,0.417821,0.155898,0.968299,0.988455,0.976061,0.975278,06:37
11,0.342959,0.123303,0.969182,0.988834,0.977611,0.976202,06:37
12,0.347252,0.105136,0.968316,0.988624,0.977816,0.975768,06:37
13,0.308419,0.094258,0.970462,0.989123,0.981696,0.977936,06:37
14,0.332124,0.097826,0.968887,0.988780,0.980446,0.976750,06:37
15,0.321413,0.104678,0.968334,0.988625,0.978037,0.975832,06:37
16,0.329442,0.096764,0.969492,0.989197,0.981861,0.977510,06:37
17,0.312141,0.106629,0.968497,0.988737,0.978781,0.976128,06:37
18,0.305305,0.107752,0.968292,0.988967,0.979291,0.976210,06:37
19,0.322747,0.108771,0.968418,0.988724,0.976578,0.975535,06:37
20,0.384473,0.120714,0.967957,0.988384,0.979760,0.976014,06:37
21,0.325005,0.105204,0.968019,0.988461,0.978846,0.975836,06:37
22,0.373607,0.113236,0.968716,0.988521,0.978009,0.975991,06:37
23,0.340564,0.112717,0.968320,0.988759,0.975835,0.975309,06:37
24,0.354365,0.120329,0.968232,0.988483,0.974379,0.974831,06:37
25,0.355621,0.107289,0.968141,0.988595,0.980373,0.976312,06:37
26,0.289029,0.112603,0.967983,0.988021,0.976446,0.975108,06:37
27,0.295299,0.107419,0.969184,0.988551,0.977180,0.976025,06:37
28,0.366505,0.118952,0.968408,0.988299,0.975397,0.975128,06:38
29,0.325053,0.104457,0.968526,0.988897,0.974799,0.975187,06:37
30,0.406621,0.122301,0.968810,0.988801,0.971977,0.974599,06:37
