epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.940899,0.271461,0.896139,0.961394,0.903502,0.914293,06:39
1,0.781581,0.202685,0.921686,0.971167,0.943779,0.939579,06:36
2,0.718431,0.177873,0.928828,0.972802,0.946410,0.944217,06:36
3,0.626973,0.175446,0.931836,0.971983,0.946028,0.945421,06:36
4,0.636067,0.151260,0.936635,0.979237,0.960518,0.953256,06:36
5,0.642454,0.151671,0.943112,0.976031,0.958786,0.955260,06:36
6,0.585778,0.149538,0.938347,0.978930,0.960712,0.954084,06:36
7,0.589772,0.145196,0.944811,0.980293,0.965456,0.958843,06:36
8,0.452666,0.136763,0.947042,0.981657,0.964973,0.960179,06:36
9,0.521216,0.128739,0.947917,0.979853,0.970176,0.961466,06:36
10,0.635005,0.164160,0.945630,0.979695,0.969925,0.960220,06:37
11,0.584795,0.143724,0.949441,0.980837,0.964223,0.960985,06:37
12,0.552120,0.127411,0.950363,0.983162,0.963426,0.961828,06:37
13,0.508525,0.125521,0.950254,0.982510,0.972385,0.963850,06:37
14,0.516201,0.122531,0.952324,0.984976,0.969904,0.964882,06:37
15,0.500276,0.124982,0.952362,0.981569,0.962317,0.962152,06:37
16,0.503278,0.122533,0.953103,0.980525,0.970284,0.964254,06:37
17,0.477677,0.132612,0.952659,0.981065,0.970689,0.964268,06:37
18,0.463522,0.128111,0.950886,0.982659,0.968105,0.963134,06:37
19,0.490457,0.118473,0.954534,0.984443,0.969840,0.965838,06:37
20,0.561464,0.126254,0.955770,0.981870,0.974782,0.967048,06:36
21,0.481268,0.117174,0.955482,0.983591,0.968049,0.965651,06:37
22,0.553433,0.138062,0.955426,0.980578,0.956093,0.961881,06:37
23,0.464886,0.123132,0.957297,0.981147,0.973586,0.967332,06:37
24,0.487386,0.145701,0.956750,0.981332,0.960505,0.963834,06:37
25,0.483715,0.119866,0.955832,0.983593,0.968138,0.965849,06:37
26,0.420740,0.120809,0.955298,0.984648,0.968603,0.965961,06:37
27,0.419605,0.130852,0.952913,0.981256,0.970625,0.964427,06:37
28,0.508186,0.124932,0.959262,0.985975,0.972275,0.969193,06:37
29,0.420929,0.119766,0.959311,0.984756,0.964534,0.966978,06:37
30,0.522044,0.130026,0.959907,0.985501,0.967140,0.968114,06:37
31,0.465718,0.117655,0.960507,0.984692,0.962484,0.967048,06:38
32,0.433457,0.118232,0.961333,0.985743,0.977249,0.971414,06:38
33,0.433251,0.135300,0.957788,0.984008,0.971479,0.967766,06:37
34,0.355396,0.108199,0.960882,0.986063,0.972157,0.969996,06:38
35,0.401493,0.116297,0.961404,0.985060,0.970777,0.969662,06:37
36,0.391289,0.111605,0.957852,0.986042,0.974475,0.969055,06:37
37,0.440741,0.113032,0.960548,0.985695,0.971717,0.969627,06:38
38,0.422406,0.109900,0.959008,0.985618,0.974681,0.969579,06:38
39,0.463263,0.116221,0.958927,0.985429,0.974330,0.969403,06:38
40,0.427553,0.110924,0.960541,0.984668,0.974597,0.970087,06:38
41,0.393810,0.109255,0.960926,0.985974,0.973822,0.970412,06:38
42,0.405500,0.108018,0.960446,0.985043,0.971506,0.969360,06:37
43,0.357719,0.106296,0.961860,0.986384,0.970629,0.970183,06:38
44,0.399091,0.109207,0.961123,0.985349,0.974466,0.970515,06:38
45,0.422362,0.128618,0.960306,0.984614,0.972552,0.969444,06:38
46,0.432364,0.138028,0.961673,0.984428,0.968224,0.969000,06:38
