epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.556465,1.971358,0.235676,0.450848,0.419293,0.335373,08:01
1,1.212661,0.616986,0.722664,0.837501,0.801012,0.770961,07:58
2,1.207634,0.379842,0.847623,0.913116,0.857581,0.866486,07:59
3,1.126336,0.453122,0.876160,0.910153,0.904890,0.891841,07:59
4,0.948362,0.276575,0.896466,0.941980,0.897702,0.908154,07:59
5,0.969850,0.293019,0.899872,0.941853,0.841700,0.895824,08:00
6,1.038768,0.311736,0.907415,0.950388,0.943312,0.927133,08:00
7,1.049742,0.259781,0.910851,0.968323,0.934672,0.931174,08:00
8,0.840524,0.176056,0.929614,0.967023,0.950855,0.944277,08:00
9,0.908434,0.201363,0.918695,0.967550,0.935475,0.935104,08:00
10,0.839635,0.209858,0.924976,0.966845,0.938661,0.938865,08:00
11,0.918530,0.172059,0.923463,0.975240,0.950485,0.943163,08:00
12,0.767275,0.171664,0.933593,0.972026,0.956776,0.948997,08:00
13,0.830685,0.155531,0.928121,0.977561,0.937946,0.942937,08:00
14,0.842811,0.162961,0.934762,0.969166,0.958600,0.949323,08:01
15,0.807295,0.170887,0.935543,0.976836,0.883973,0.932974,08:00
16,1.000029,0.182145,0.931686,0.976918,0.946279,0.946642,08:01
17,0.828427,0.196681,0.933420,0.970083,0.924335,0.940315,08:01
18,0.773039,0.169643,0.933939,0.970314,0.956895,0.948771,08:01
19,0.865136,0.147202,0.933758,0.979950,0.966166,0.953408,08:01
20,0.817388,0.183452,0.938748,0.966583,0.943147,0.946807,08:01
21,0.887847,0.145294,0.940671,0.973273,0.956030,0.952661,08:01
22,0.834351,0.128123,0.947713,0.980794,0.955148,0.957842,08:01
23,0.687744,0.116686,0.947054,0.979864,0.952647,0.956655,08:00
24,0.694457,0.116090,0.945350,0.978592,0.949480,0.954693,08:01
25,0.758180,0.121298,0.941752,0.982094,0.966358,0.957989,08:01
26,0.866359,0.131153,0.953313,0.982769,0.952829,0.960556,08:00
27,0.768710,0.128488,0.945524,0.979981,0.950718,0.955437,08:01
28,0.815394,0.152116,0.942311,0.977647,0.971234,0.958376,08:00
29,0.853083,0.120226,0.948184,0.982884,0.970269,0.962380,08:01
30,0.774816,0.158249,0.947593,0.973938,0.953610,0.955684,08:00
31,0.771693,0.105998,0.955802,0.983150,0.963785,0.964635,08:01
32,0.800085,0.133089,0.947533,0.981540,0.960510,0.959279,08:01
33,0.682168,0.097280,0.955876,0.983031,0.971157,0.966485,08:01
34,0.726052,0.101831,0.956583,0.984709,0.968479,0.966589,08:01
35,0.802273,0.113000,0.954090,0.981724,0.969724,0.964907,08:01
36,0.726968,0.116654,0.950413,0.980338,0.959659,0.960206,08:01
37,0.743887,0.102137,0.955638,0.983819,0.970476,0.966393,08:01
38,0.791047,0.116825,0.954496,0.981815,0.963303,0.963527,08:01
39,0.699758,0.101755,0.953274,0.982940,0.964626,0.963528,08:01
40,0.754367,0.105733,0.956180,0.984263,0.963230,0.964963,08:01
41,0.747326,0.094001,0.958290,0.983275,0.969062,0.967229,08:01
42,0.669804,0.095818,0.955779,0.985736,0.969514,0.966702,08:01
43,0.721503,0.099962,0.956086,0.985633,0.966047,0.965963,08:01
44,0.765932,0.097619,0.959854,0.984775,0.971880,0.969091,08:01
45,0.730501,0.096244,0.954072,0.984535,0.969442,0.965530,08:01
46,0.643887,0.092024,0.955431,0.985752,0.970551,0.966791,08:01
47,0.695792,0.106774,0.956524,0.983831,0.966354,0.965808,08:01
48,0.757750,0.095298,0.957978,0.985601,0.967259,0.967204,08:01
49,0.615503,0.114882,0.949991,0.976193,0.969179,0.961339,08:01
50,0.669721,0.095708,0.954996,0.984047,0.962434,0.964118,08:01
51,0.642857,0.088918,0.959738,0.984472,0.970505,0.968613,08:01
52,0.813990,0.109240,0.955687,0.986159,0.968957,0.966622,08:01
53,0.661603,0.090730,0.956652,0.984595,0.968197,0.966524,08:01
