epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,2.461311,2.123338,0.069414,0.537264,0.360878,0.259243,03:47
1,1.450080,0.667357,0.630625,0.860904,0.818200,0.735088,03:45
2,1.263748,0.738147,0.697685,0.868181,0.742596,0.751537,03:45
3,1.126324,0.415573,0.798320,0.932661,0.882739,0.853010,03:45
4,0.963088,0.275587,0.871894,0.954854,0.944164,0.910701,03:45
5,0.933434,0.269401,0.878990,0.958595,0.883209,0.899946,03:46
6,0.928254,0.200580,0.909742,0.963729,0.944826,0.932010,03:45
7,0.903122,0.184060,0.911030,0.969954,0.958292,0.937576,03:46
8,0.770140,0.164474,0.923840,0.971857,0.970989,0.947632,03:46
9,0.853863,0.165934,0.916743,0.966707,0.964663,0.941214,03:46
10,0.780437,0.150990,0.928804,0.974720,0.971897,0.951056,03:46
11,0.800679,0.171414,0.919221,0.970762,0.975348,0.946138,03:46
12,0.724351,0.152633,0.928808,0.972218,0.970435,0.950067,03:46
13,0.712924,0.134949,0.933435,0.973539,0.968688,0.952274,03:46
14,0.762482,0.135981,0.936505,0.973072,0.970614,0.954174,03:46
15,0.746733,0.140267,0.938942,0.976637,0.960981,0.953875,03:46
16,0.848053,0.143345,0.939025,0.978531,0.969670,0.956563,03:46
17,0.718147,0.127363,0.942580,0.974418,0.965500,0.956269,03:45
18,0.644005,0.126793,0.942387,0.977392,0.976511,0.959669,03:46
19,0.728418,0.128386,0.938734,0.978579,0.976675,0.958180,03:46
20,0.715041,0.127195,0.936355,0.979051,0.977291,0.957263,03:46
21,0.788497,0.165401,0.940197,0.976196,0.974467,0.957764,03:46
22,0.732090,0.122769,0.940570,0.976562,0.976467,0.958542,03:46
23,0.610818,0.124577,0.941604,0.976365,0.971910,0.957871,03:46
24,0.630796,0.117971,0.943818,0.978764,0.973669,0.960017,03:46
25,0.675075,0.116012,0.944718,0.980547,0.976185,0.961542,03:46
26,0.742335,0.121670,0.945605,0.977269,0.971633,0.960028,03:45
27,0.667191,0.118137,0.937970,0.979531,0.977305,0.958194,03:46
28,0.723685,0.120091,0.942046,0.980725,0.980075,0.961223,03:46
29,0.734844,0.119044,0.942475,0.979719,0.979906,0.961144,03:46
30,0.689772,0.115860,0.947667,0.977986,0.976651,0.962492,03:46
31,0.695485,0.115373,0.945079,0.978357,0.980091,0.962151,03:46
32,0.734859,0.118493,0.945464,0.979686,0.974631,0.961312,03:45
33,0.638273,0.110136,0.946892,0.979117,0.976715,0.962404,03:46
34,0.672108,0.116244,0.942632,0.981205,0.974746,0.960304,03:46
35,0.731389,0.111190,0.943154,0.981579,0.978202,0.961522,03:46
36,0.641048,0.111434,0.948051,0.980187,0.975748,0.963009,03:46
37,0.667431,0.110895,0.947933,0.981289,0.976436,0.963398,03:46
38,0.697742,0.110781,0.947175,0.982506,0.980410,0.964317,03:46
39,0.624688,0.110103,0.947485,0.981453,0.982465,0.964722,03:46
40,0.692173,0.108353,0.947404,0.981792,0.978658,0.963815,03:46
41,0.669616,0.107448,0.948142,0.980175,0.979185,0.963911,03:46
42,0.640603,0.109077,0.949080,0.982377,0.982292,0.965707,03:46
43,0.655519,0.107809,0.948891,0.982255,0.979728,0.964941,03:46
44,0.715960,0.109145,0.946301,0.981691,0.976812,0.962776,03:46
45,0.656653,0.104044,0.951409,0.981979,0.982160,0.966739,03:46
46,0.599295,0.103262,0.952368,0.981133,0.978586,0.966114,03:46
47,0.648107,0.105057,0.947226,0.982948,0.980906,0.964576,03:46
48,0.667736,0.104099,0.947779,0.982957,0.982213,0.965182,03:46
49,0.554350,0.106903,0.948292,0.981343,0.981392,0.964830,03:46
50,0.599471,0.103690,0.953282,0.982849,0.980287,0.967425,03:46
51,0.596366,0.103825,0.947670,0.981952,0.981207,0.964625,03:46
52,0.695052,0.103893,0.949774,0.982270,0.982050,0.965967,03:46
53,0.620586,0.102176,0.952139,0.981916,0.982619,0.967203,03:46
54,0.613069,0.103401,0.951736,0.981409,0.978820,0.965925,03:46
55,0.577709,0.105875,0.949671,0.981613,0.975963,0.964229,03:46
56,0.577024,0.103843,0.950941,0.983026,0.980169,0.966269,03:46
57,0.614867,0.102073,0.950196,0.981746,0.981720,0.965965,03:46
58,0.665234,0.101733,0.950978,0.981530,0.982221,0.966427,03:46
59,0.539245,0.102209,0.949807,0.981873,0.983196,0.966171,03:46
60,0.638135,0.101117,0.949373,0.984190,0.981445,0.966095,03:46
61,0.621295,0.100464,0.949954,0.984240,0.983192,0.966835,03:46
62,0.675084,0.102290,0.952329,0.983344,0.981031,0.967258,03:46
63,0.536997,0.103344,0.951193,0.983140,0.982676,0.967050,03:46
64,0.588885,0.100624,0.952378,0.984426,0.981547,0.967682,03:46
65,0.623531,0.100492,0.952214,0.984824,0.980417,0.967417,03:46
66,0.613120,0.101477,0.951217,0.984832,0.983884,0.967788,03:46
67,0.577206,0.102000,0.952267,0.984065,0.983834,0.968108,03:46
68,0.624983,0.101359,0.954486,0.983800,0.983510,0.969071,03:46
69,0.570946,0.099857,0.952558,0.984388,0.983823,0.968331,03:46
70,0.580030,0.101034,0.952907,0.984243,0.981569,0.967907,03:46
71,0.568536,0.099900,0.950438,0.983660,0.979856,0.966098,03:46
72,0.657758,0.098573,0.954541,0.985228,0.982094,0.969101,03:46
73,0.625330,0.097229,0.954786,0.984604,0.981763,0.968984,03:46
74,0.598856,0.096774,0.953951,0.985088,0.983907,0.969224,03:46
75,0.522315,0.099129,0.953811,0.984896,0.982835,0.968838,03:46
76,0.544220,0.099514,0.954080,0.984117,0.982705,0.968745,03:46
77,0.508449,0.098114,0.953396,0.984356,0.982964,0.968528,03:46
78,0.598254,0.095360,0.952326,0.985789,0.983924,0.968591,03:46
79,0.521360,0.097676,0.953495,0.984385,0.984769,0.969036,03:46
80,0.560776,0.095807,0.955238,0.984162,0.985115,0.969938,03:46
81,0.536595,0.095595,0.954784,0.983343,0.984126,0.969260,03:46
82,0.579944,0.095585,0.952871,0.985243,0.983487,0.968618,03:46
83,0.586574,0.093960,0.957121,0.984980,0.982910,0.970533,03:46
84,0.531019,0.094966,0.955018,0.984943,0.984026,0.969751,03:46
85,0.584112,0.095532,0.953689,0.983643,0.983419,0.968610,03:46
86,0.590983,0.096454,0.954553,0.984966,0.984083,0.969539,03:46
87,0.522124,0.099060,0.954036,0.983529,0.982547,0.968537,03:46
88,0.572523,0.095630,0.953188,0.983897,0.982781,0.968263,03:46
89,0.593424,0.098725,0.952430,0.985326,0.982570,0.968189,03:46
90,0.512228,0.098043,0.953615,0.985793,0.982418,0.968860,03:46
91,0.544919,0.094643,0.953262,0.985795,0.984038,0.969089,03:46
92,0.579558,0.093881,0.954691,0.984791,0.978782,0.968239,03:46
93,0.511695,0.094089,0.957228,0.985102,0.982624,0.970546,03:46
94,0.493770,0.096961,0.954675,0.985164,0.982193,0.969177,03:46
95,0.560290,0.093310,0.955971,0.984756,0.985161,0.970465,03:46
96,0.539271,0.093364,0.957574,0.984390,0.984324,0.970965,03:46
97,0.550957,0.093130,0.956974,0.983983,0.984560,0.970623,03:46
98,0.518739,0.093878,0.956154,0.984404,0.983146,0.969964,03:46
