epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.451362,0.264035,0.885149,0.955873,0.935986,0.915539,10:17
1,1.209941,0.214504,0.914991,0.967068,0.949544,0.936648,10:13
2,1.084246,0.153576,0.941143,0.975084,0.956667,0.953509,10:12
3,0.976826,0.141011,0.941426,0.973102,0.965669,0.955406,10:12
4,0.911649,0.130374,0.946029,0.980038,0.966104,0.959550,10:12
5,0.847235,0.124336,0.950107,0.980775,0.967562,0.962138,10:12
6,0.824942,0.126695,0.948181,0.980570,0.965267,0.960550,10:14
7,0.791352,0.117739,0.950849,0.981065,0.966583,0.962337,10:17
8,0.760089,0.114488,0.950906,0.982244,0.972122,0.964045,10:12
9,0.747264,0.113068,0.954787,0.981462,0.963045,0.963520,10:12
10,0.733771,0.111056,0.953630,0.983131,0.965353,0.963936,10:17
11,0.706528,0.107882,0.953492,0.984212,0.967912,0.964777,10:18
12,0.694734,0.106536,0.955032,0.982901,0.970007,0.965743,10:16
13,0.682564,0.105800,0.957120,0.981112,0.971291,0.966661,10:16
14,0.662500,0.100559,0.956112,0.983309,0.975052,0.967646,10:17
15,0.658925,0.102023,0.955773,0.983620,0.976719,0.967971,10:13
16,0.652875,0.102106,0.957028,0.981750,0.973675,0.967371,10:13
17,0.660762,0.098847,0.958011,0.983095,0.960984,0.965025,10:13
18,0.640412,0.098649,0.957875,0.984410,0.979315,0.969869,10:17
19,0.643090,0.101814,0.957449,0.983559,0.975261,0.968430,10:16
20,0.616895,0.102445,0.955320,0.983084,0.975086,0.967202,10:18
21,0.607834,0.096937,0.958893,0.982522,0.971612,0.967980,10:16
22,0.602558,0.098987,0.957894,0.983757,0.976260,0.968951,10:17
23,0.613954,0.100693,0.959515,0.984346,0.972170,0.968886,10:16
24,0.595475,0.099895,0.958473,0.982611,0.973397,0.968238,10:19
25,0.596219,0.101464,0.957193,0.984221,0.974835,0.968360,10:16
26,0.585475,0.103907,0.956340,0.983867,0.973649,0.967549,10:15
27,0.604352,0.100286,0.960867,0.984512,0.968225,0.968618,10:14
28,0.576476,0.100339,0.961049,0.985292,0.977254,0.971161,10:17
29,0.581391,0.103666,0.958852,0.984742,0.973700,0.969036,10:16
30,0.578937,0.099335,0.959027,0.984575,0.978407,0.970259,10:19
31,0.572613,0.101208,0.960293,0.983351,0.974771,0.969677,10:16
32,0.554834,0.104474,0.959412,0.984894,0.977764,0.970371,10:18
33,0.556976,0.099771,0.960098,0.984352,0.971516,0.969016,10:15
34,0.562867,0.098373,0.960847,0.985207,0.976577,0.970869,10:19
35,0.541547,0.101919,0.961191,0.985176,0.976431,0.970997,10:16
36,0.552265,0.100513,0.960991,0.985371,0.973795,0.970287,10:18
37,0.533608,0.100852,0.961791,0.985399,0.973937,0.970729,10:15
38,0.548642,0.104677,0.961592,0.985399,0.975458,0.971011,10:19
39,0.540384,0.103546,0.959856,0.985242,0.975577,0.970133,10:15
40,0.534711,0.104380,0.960464,0.985813,0.976194,0.970734,10:19
41,0.535688,0.104472,0.961246,0.986151,0.973413,0.970514,10:16
42,0.536445,0.105389,0.960628,0.985393,0.971986,0.969659,10:14
43,0.530093,0.106118,0.961587,0.985185,0.975832,0.971048,10:14
44,0.526376,0.107383,0.957999,0.984967,0.971734,0.968175,10:14
45,0.518947,0.104988,0.960601,0.985104,0.972922,0.969807,10:17
46,0.520601,0.104534,0.960877,0.985748,0.975068,0.970643,10:20
47,0.518510,0.105873,0.961138,0.985507,0.975021,0.970701,10:14
48,0.519810,0.105703,0.961388,0.985761,0.973879,0.970604,10:18
