epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.588481,0.349178,0.849464,0.925331,0.917482,0.885435,04:51
1,1.370894,0.260360,0.893364,0.959709,0.937416,0.920963,04:53
2,1.250709,0.181479,0.920782,0.969125,0.934788,0.936369,04:52
3,1.136577,0.159309,0.931375,0.971123,0.957534,0.947852,04:51
4,1.056653,0.154595,0.936409,0.973640,0.957247,0.950926,04:53
5,1.010774,0.133479,0.943734,0.977445,0.956592,0.955376,04:51
6,0.953582,0.125578,0.945602,0.979625,0.955894,0.956681,04:53
7,0.929895,0.124507,0.945599,0.980843,0.967131,0.959793,04:54
8,0.906335,0.120302,0.950592,0.978236,0.968146,0.961891,04:54
9,0.881562,0.119957,0.946586,0.979099,0.965008,0.959320,04:52
10,0.863653,0.116460,0.947778,0.980246,0.970413,0.961554,04:54
11,0.837888,0.113671,0.950934,0.979434,0.968299,0.962400,04:53
12,0.831038,0.110707,0.948090,0.981721,0.968905,0.961701,04:52
13,0.813855,0.108816,0.952048,0.982645,0.957305,0.961011,04:55
14,0.794104,0.105962,0.954057,0.981941,0.970086,0.965035,04:55
15,0.780422,0.107090,0.953286,0.982515,0.966530,0.963904,04:52
16,0.776537,0.104559,0.954799,0.981681,0.970412,0.965423,04:51
17,0.766912,0.107747,0.953917,0.982706,0.970870,0.965352,04:53
18,0.759081,0.102086,0.953255,0.983194,0.970086,0.964947,04:54
19,0.752656,0.103548,0.953137,0.981574,0.970517,0.964591,04:59
20,0.744069,0.100239,0.954467,0.983837,0.975381,0.967038,04:56
21,0.738656,0.101947,0.953827,0.983263,0.975087,0.966501,04:53
22,0.723072,0.101051,0.953475,0.981969,0.973022,0.965485,04:53
23,0.765558,0.102453,0.956686,0.981400,0.972634,0.966851,04:52
24,0.725188,0.107989,0.953274,0.982564,0.968313,0.964356,04:56
25,0.734923,0.100597,0.957788,0.983748,0.975566,0.968723,04:53
26,0.712453,0.100913,0.956007,0.982409,0.973179,0.966900,04:53
27,0.683399,0.093269,0.958465,0.985047,0.976781,0.969690,04:53
28,0.672404,0.093860,0.959268,0.984843,0.974922,0.969575,04:52
29,0.678147,0.094692,0.958212,0.984606,0.975457,0.969122,04:54
30,0.662335,0.093721,0.959468,0.986213,0.970848,0.968999,04:53
31,0.658539,0.093659,0.960389,0.985658,0.975151,0.970397,04:53
32,0.657804,0.094281,0.959773,0.983957,0.975874,0.969844,04:51
33,0.650076,0.095095,0.957732,0.985263,0.973528,0.968564,04:53
34,0.643790,0.091657,0.958249,0.985756,0.974326,0.969145,04:52
35,0.629882,0.091978,0.959077,0.985925,0.973530,0.969402,04:52
36,0.630434,0.091103,0.958833,0.986476,0.976363,0.970127,04:52
37,0.625162,0.090277,0.958409,0.986173,0.974400,0.969348,04:52
38,0.636494,0.089958,0.959752,0.985788,0.975813,0.970276,04:52
39,0.621403,0.091525,0.959894,0.986408,0.974794,0.970248,04:56
40,0.615025,0.091257,0.960230,0.986073,0.974781,0.970329,04:52
41,0.626655,0.090499,0.959990,0.985527,0.977999,0.970876,04:52
42,0.620964,0.092607,0.958665,0.985834,0.974569,0.969433,04:54
43,0.615587,0.090887,0.961213,0.985109,0.976534,0.971017,04:52
44,0.615718,0.090155,0.960456,0.985310,0.974741,0.970241,04:53
45,0.608432,0.089644,0.959508,0.986246,0.975500,0.970191,04:53
46,0.602487,0.089694,0.960521,0.985942,0.977119,0.971026,04:53
47,0.605121,0.090846,0.959894,0.985736,0.972937,0.969615,04:53
48,0.606327,0.089932,0.961202,0.985356,0.973896,0.970414,04:52
49,0.604832,0.090163,0.961026,0.986301,0.974333,0.970671,04:52
50,0.611621,0.089695,0.960160,0.986250,0.976983,0.970888,04:53
51,0.602813,0.090170,0.959687,0.985814,0.976747,0.970484,04:53
