epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.254048,0.240222,0.895529,0.957277,0.929171,0.919376,10:11
1,1.034815,0.175416,0.919871,0.965466,0.960032,0.941310,10:05
2,0.916064,0.137194,0.934534,0.969154,0.970054,0.952069,10:06
3,0.867019,0.127689,0.942199,0.978341,0.971615,0.958588,10:03
4,0.803716,0.122270,0.944500,0.980149,0.971650,0.960200,10:05
5,0.773977,0.109928,0.948086,0.979851,0.975428,0.962863,10:08
6,0.756639,0.110981,0.946261,0.977937,0.974028,0.961122,10:04
7,0.722753,0.111319,0.944243,0.978194,0.976837,0.960879,10:04
8,0.705976,0.099269,0.950371,0.982869,0.974513,0.964531,10:06
9,0.692592,0.104059,0.949076,0.981624,0.977133,0.964227,10:09
10,0.681508,0.102774,0.951262,0.982078,0.972452,0.964264,10:10
11,0.671616,0.096202,0.953558,0.985518,0.976568,0.967300,10:05
12,0.660640,0.101751,0.950948,0.984725,0.974941,0.965391,10:08
13,0.646212,0.097914,0.954299,0.982589,0.976535,0.966931,10:06
14,0.656663,0.101015,0.952650,0.984102,0.975421,0.966206,10:09
15,0.636703,0.093446,0.956399,0.983838,0.976126,0.968191,10:05
16,0.622949,0.094370,0.953862,0.985319,0.977814,0.967714,10:08
17,0.624956,0.097144,0.955305,0.984317,0.974973,0.967475,10:05
18,0.616607,0.096183,0.957348,0.984535,0.973304,0.968134,10:08
19,0.599104,0.097828,0.957075,0.984116,0.974338,0.968151,10:09
20,0.598328,0.095741,0.953324,0.984244,0.975989,0.966720,10:09
21,0.604215,0.093427,0.955891,0.984834,0.976133,0.968187,10:08
22,0.601800,0.096599,0.955397,0.984642,0.974772,0.967552,10:11
23,0.591475,0.094007,0.954998,0.985380,0.976559,0.967984,10:07
24,0.591351,0.097979,0.956239,0.984383,0.975283,0.968036,10:06
25,0.589553,0.104216,0.955255,0.982285,0.976056,0.967213,10:06
26,0.571804,0.095401,0.957250,0.984531,0.978135,0.969291,10:06
27,0.570433,0.097244,0.955403,0.985781,0.977905,0.968623,10:08
28,0.583940,0.093418,0.958672,0.987030,0.979317,0.970923,10:05
29,0.573123,0.095797,0.957380,0.985700,0.977643,0.969526,10:11
30,0.575365,0.099123,0.955871,0.984870,0.975880,0.968123,10:08
31,0.568662,0.103451,0.958251,0.985248,0.976612,0.969591,10:05
32,0.561077,0.104429,0.954752,0.984853,0.977351,0.967927,10:05
33,0.554125,0.098415,0.958409,0.983829,0.977238,0.969471,10:06
34,0.566441,0.095251,0.954283,0.986277,0.979047,0.968473,10:08
35,0.550700,0.097479,0.958813,0.985489,0.977073,0.970047,10:06
36,0.552447,0.094133,0.957164,0.984364,0.978685,0.969344,10:10
37,0.548115,0.096665,0.956238,0.987097,0.975913,0.968872,10:06
38,0.547228,0.099589,0.956946,0.984532,0.977358,0.968946,10:10
39,0.544057,0.100722,0.956862,0.985567,0.978309,0.969400,10:07
40,0.550823,0.102039,0.958384,0.985549,0.976472,0.969697,10:09
41,0.541624,0.102372,0.956543,0.986041,0.977675,0.969200,10:06
42,0.539033,0.099838,0.957526,0.986045,0.975741,0.969210,10:09
43,0.538251,0.108520,0.956291,0.987344,0.978736,0.969665,10:06
44,0.541787,0.107120,0.955060,0.984875,0.977847,0.968210,10:09
45,0.542366,0.112305,0.956504,0.986101,0.976483,0.968898,10:09
46,0.523374,0.107396,0.956471,0.986332,0.977865,0.969285,10:08
47,0.525617,0.103556,0.954428,0.985496,0.979956,0.968577,10:11
48,0.527106,0.102491,0.954787,0.987062,0.978244,0.968720,10:05
49,0.529783,0.106828,0.956829,0.986226,0.977145,0.969257,10:07
50,0.529783,0.114536,0.956128,0.984470,0.976618,0.968336,10:09
51,0.513820,0.101657,0.957601,0.987257,0.977084,0.969886,10:06
52,0.517059,0.102377,0.959116,0.987258,0.978578,0.971017,10:10
53,0.521707,0.101146,0.957797,0.985157,0.977479,0.969557,10:06
54,0.521345,0.101835,0.957865,0.985252,0.976804,0.969447,10:11
