epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.548598,0.341555,0.882452,0.940295,0.905768,0.902742,10:10
1,1.428597,0.345858,0.916089,0.957621,0.946506,0.934076,10:04
2,1.312473,0.291966,0.929715,0.966111,0.957081,0.945655,10:02
3,1.232340,0.247103,0.941009,0.972395,0.950582,0.951249,10:04
4,1.170011,0.253286,0.941160,0.970153,0.965350,0.954456,10:04
5,1.141784,0.253927,0.944386,0.975047,0.961255,0.956269,10:06
6,1.094877,0.225058,0.946864,0.976318,0.969317,0.959841,10:08
7,1.083931,0.246960,0.943012,0.972655,0.964357,0.955759,10:08
8,1.094772,0.257791,0.948140,0.975821,0.966095,0.959549,10:05
9,1.084239,0.278474,0.949425,0.977344,0.964999,0.960298,10:08
10,1.028417,0.234200,0.951370,0.977997,0.972100,0.963210,10:10
11,1.015016,0.229082,0.951824,0.976337,0.968212,0.962049,10:07
12,1.015225,0.266267,0.952136,0.977204,0.972481,0.963489,10:11
