epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.467549,0.680949,0.654364,0.877324,0.751668,0.734430,05:20
1,1.144617,0.350953,0.846978,0.930360,0.887834,0.878037,05:16
2,1.052596,0.260248,0.871901,0.947756,0.918488,0.902511,05:16
3,0.954990,0.201653,0.901062,0.966606,0.941696,0.927607,05:16
4,0.961516,0.188747,0.908583,0.965941,0.940609,0.930929,05:17
5,0.919924,0.172710,0.914455,0.968952,0.925266,0.930782,05:18
6,0.891062,0.165173,0.915473,0.973157,0.949759,0.938466,05:17
7,0.867636,0.155872,0.930860,0.970951,0.944473,0.944286,05:17
8,0.863447,0.147065,0.924400,0.974566,0.951965,0.943833,05:19
9,0.826230,0.146739,0.926896,0.976025,0.948521,0.944584,05:18
10,0.831396,0.140235,0.932312,0.973978,0.948358,0.946740,05:19
11,0.787973,0.126680,0.933330,0.976841,0.956113,0.949904,05:18
12,0.787525,0.132842,0.932130,0.977215,0.959070,0.950136,05:16
13,0.770664,0.123893,0.938589,0.978859,0.958185,0.953555,05:18
14,0.754863,0.133058,0.941182,0.972530,0.947904,0.950699,05:19
15,0.763828,0.125691,0.942175,0.975534,0.950175,0.952515,05:18
16,0.745597,0.118458,0.944836,0.978922,0.957463,0.956514,05:17
17,0.727189,0.127315,0.932291,0.978779,0.958488,0.950463,05:17
18,0.733461,0.123796,0.941960,0.979178,0.956382,0.954870,05:17
19,0.726000,0.114531,0.941868,0.978449,0.962530,0.956179,05:18
20,0.728934,0.120961,0.939456,0.978988,0.963317,0.955304,05:18
21,0.695176,0.123242,0.943612,0.980398,0.962075,0.957424,05:19
22,0.710475,0.112457,0.945016,0.979826,0.964503,0.958590,05:18
23,0.690979,0.111712,0.946226,0.981096,0.954369,0.956979,05:17
24,0.686531,0.114140,0.940333,0.978981,0.957912,0.954390,05:18
25,0.668336,0.110088,0.946703,0.982719,0.962634,0.959689,05:17
26,0.665817,0.109379,0.947067,0.981811,0.962680,0.959656,05:19
27,0.662822,0.108609,0.943546,0.981402,0.963301,0.957949,05:18
28,0.656277,0.104241,0.950597,0.982755,0.970770,0.963680,05:18
29,0.657006,0.106150,0.948104,0.980826,0.973554,0.962647,05:18
30,0.635573,0.109314,0.946684,0.979933,0.964203,0.959376,05:19
31,0.649558,0.108456,0.948201,0.982093,0.959032,0.959382,05:18
