epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.765246,0.128644,0.948839,0.979848,0.963074,0.960150,07:30
1,1.118874,0.222115,0.912556,0.957287,0.948783,0.932796,07:28
2,1.132884,0.303779,0.900829,0.913068,0.906080,0.905202,07:28
3,1.115246,0.278110,0.901810,0.963351,0.931609,0.924645,07:29
4,1.121997,0.912832,0.911649,0.951303,0.853515,0.907029,07:29
5,1.100307,0.243658,0.907638,0.964019,0.928836,0.927033,07:28
6,1.103768,0.411894,0.930955,0.849777,0.909285,0.905243,07:29
7,1.027223,0.278153,0.894277,0.969304,0.951615,0.927368,07:29
8,1.036484,0.268075,0.909643,0.973790,0.959030,0.938027,07:29
9,1.037153,0.231274,0.925798,0.958372,0.937430,0.936850,07:29
10,1.087847,0.205245,0.927826,0.976930,0.946505,0.944772,07:30
11,0.989586,0.251511,0.929557,0.958771,0.877853,0.923934,07:30
12,1.029979,0.197547,0.924109,0.952425,0.961942,0.940646,07:29
13,0.975150,0.219410,0.926733,0.927866,0.964234,0.936392,07:29
14,0.932702,0.288969,0.926231,0.955126,0.945875,0.938366,07:30
15,0.993704,0.264541,0.904602,0.956015,0.965098,0.932579,07:29
16,0.944108,0.317289,0.929287,0.971287,0.742073,0.892983,07:29
17,0.898249,0.206844,0.918944,0.952696,0.967182,0.939441,07:30
18,0.913239,0.212715,0.918942,0.979548,0.933128,0.937640,07:30
19,0.918475,0.216080,0.928204,0.974743,0.907620,0.934693,07:30
20,0.957269,0.413910,0.929028,0.859649,0.737545,0.863813,07:30
21,0.910576,0.208085,0.922547,0.948383,0.955963,0.937360,07:31
22,0.914182,0.179883,0.929796,0.973843,0.957330,0.947691,07:30
23,0.899491,0.218565,0.917298,0.971829,0.929730,0.934039,07:30
24,0.923152,0.185064,0.933612,0.970865,0.942783,0.945218,07:31
25,0.887507,0.188831,0.933671,0.971152,0.951942,0.947609,07:31
26,0.881615,0.189632,0.925195,0.976891,0.953275,0.945139,07:30
27,0.850818,0.182604,0.928856,0.969529,0.967095,0.948584,07:32
28,0.864429,0.158201,0.937154,0.973829,0.958147,0.951571,07:30
29,0.859345,0.253414,0.931029,0.915365,0.959107,0.934133,07:30
30,0.825740,0.195853,0.931808,0.976826,0.955691,0.949033,07:31
31,0.846776,0.165894,0.937207,0.979372,0.948651,0.950609,07:32
32,0.841790,0.240548,0.942631,0.953097,0.853664,0.923006,07:31
33,0.850998,0.160309,0.936549,0.977632,0.952122,0.950713,07:31
34,0.835467,0.174694,0.936606,0.971477,0.956349,0.950259,07:32
35,0.852652,0.219725,0.924766,0.973377,0.920720,0.935907,07:31
36,0.812132,0.151050,0.935361,0.979954,0.962516,0.953298,07:31
37,0.822699,0.200743,0.935988,0.969344,0.861664,0.925746,07:31
