epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.250001,0.546308,0.696136,0.875333,0.733341,0.750236,04:08
1,0.984096,0.309520,0.864503,0.954332,0.944340,0.906920,04:07
2,0.832267,0.217525,0.919896,0.971944,0.954711,0.941612,04:08
3,0.858386,0.198240,0.921737,0.972484,0.958921,0.943720,04:07
4,0.826467,0.175664,0.930886,0.973245,0.954332,0.947337,04:07
5,0.754085,0.164817,0.941000,0.977596,0.970603,0.957550,04:07
6,0.675207,0.151259,0.935729,0.982186,0.973000,0.956661,04:07
7,0.740933,0.155178,0.942293,0.975800,0.971159,0.957886,04:07
8,0.770109,0.199019,0.941273,0.980213,0.963381,0.956535,04:08
9,0.738464,0.138057,0.945792,0.982622,0.980466,0.963668,04:08
10,0.672098,0.115964,0.949665,0.983896,0.976147,0.964844,04:08
11,0.653150,0.129257,0.944630,0.984287,0.977109,0.962664,04:08
12,0.671055,0.116803,0.950571,0.981135,0.977139,0.964854,04:08
13,0.667187,0.129618,0.948272,0.985130,0.978113,0.964947,04:08
14,0.610197,0.165901,0.953047,0.981204,0.973800,0.965275,04:09
15,0.680967,0.173745,0.953061,0.982831,0.976359,0.966328,04:08
16,0.635231,0.140744,0.946960,0.983109,0.981493,0.964630,04:09
17,0.643779,0.130521,0.953202,0.985288,0.979572,0.967816,04:08
18,0.585847,0.137414,0.954712,0.985569,0.972939,0.966983,04:08
19,0.576483,0.131794,0.953553,0.983589,0.978016,0.967178,04:08
20,0.620481,0.153459,0.951690,0.984298,0.976817,0.966124,04:08
21,0.580411,0.125204,0.954173,0.984092,0.975884,0.967081,04:08
22,0.503770,0.105256,0.953059,0.985898,0.977556,0.967393,04:08
23,0.647838,0.146658,0.951145,0.984616,0.982671,0.967394,04:08
24,0.634605,0.163039,0.953219,0.984522,0.981280,0.968060,04:08
25,0.580183,0.121185,0.953154,0.985067,0.984874,0.969062,04:08
26,0.538416,0.123122,0.952085,0.983386,0.981023,0.967145,04:08
27,0.593640,0.154687,0.954262,0.983437,0.978183,0.967536,04:08
28,0.546236,0.096675,0.954674,0.987143,0.980548,0.969260,04:08
29,0.575955,0.143345,0.953847,0.987034,0.979284,0.968503,04:08
30,0.564610,0.103388,0.955262,0.986623,0.983115,0.970065,04:08
31,0.573066,0.147637,0.956755,0.984646,0.980256,0.969603,04:08
32,0.580858,0.155260,0.954497,0.985922,0.981011,0.968982,04:08
33,0.627612,0.153869,0.958957,0.986317,0.980911,0.971286,04:09
34,0.609159,0.160749,0.956543,0.986645,0.981697,0.970357,04:08
35,0.616930,0.149563,0.956612,0.985957,0.980850,0.970008,04:08
36,0.525591,0.138254,0.958459,0.985142,0.984068,0.971532,04:08
37,0.641181,0.203082,0.956110,0.984354,0.983141,0.969929,04:08
38,0.553322,0.129010,0.956510,0.986853,0.983429,0.970826,04:09
39,0.674817,0.116097,0.956814,0.985972,0.981346,0.970236,04:08
40,0.605902,0.143397,0.956710,0.986580,0.979447,0.969862,04:09
41,0.572632,0.163132,0.957179,0.985973,0.980287,0.970155,04:08
42,0.574694,0.139847,0.958412,0.985563,0.983871,0.971564,04:08
43,0.473368,0.105900,0.957692,0.987051,0.981067,0.970875,04:08
44,0.556513,0.158920,0.957996,0.986460,0.981681,0.971033,04:08
45,0.604015,0.172941,0.958037,0.986992,0.983100,0.971542,04:08
46,0.499850,0.132692,0.957471,0.987359,0.977421,0.969930,04:08
47,0.557958,0.135004,0.958081,0.987056,0.980020,0.970810,04:08
48,0.491965,0.124148,0.958779,0.985478,0.984253,0.971822,04:08
49,0.540405,0.124164,0.957948,0.986690,0.980627,0.970803,04:08
50,0.580111,0.158326,0.959244,0.986903,0.983166,0.972139,04:08
51,0.608669,0.195828,0.956111,0.986993,0.975750,0.968741,04:08
52,0.551512,0.147168,0.960280,0.987306,0.981792,0.972415,04:08
53,0.520520,0.137193,0.958641,0.988127,0.980546,0.971489,04:08
54,0.541826,0.135056,0.959411,0.987772,0.981317,0.971978,04:08
55,0.619179,0.169371,0.959586,0.986929,0.980845,0.971736,04:08
56,0.516520,0.110455,0.959601,0.987379,0.982924,0.972376,04:08
57,0.505618,0.110989,0.960643,0.987163,0.983382,0.972958,04:08
58,0.577249,0.161142,0.960683,0.986892,0.983451,0.972927,04:08
59,0.510784,0.112592,0.959365,0.987299,0.984771,0.972700,04:08
60,0.475100,0.116330,0.960649,0.988586,0.983287,0.973293,04:08
61,0.556405,0.187724,0.959066,0.986977,0.983271,0.972095,04:08
62,0.482173,0.112532,0.959116,0.986472,0.980262,0.971241,04:08
63,0.466088,0.097233,0.960429,0.987715,0.984253,0.973207,04:09
64,0.530593,0.113793,0.960494,0.986866,0.985015,0.973217,04:08
65,0.437851,0.093247,0.960126,0.987482,0.981254,0.972247,04:08
66,0.457129,0.126242,0.960122,0.987387,0.982216,0.972462,04:08
67,0.535743,0.171963,0.958943,0.986144,0.985368,0.972349,04:08
68,0.505696,0.165294,0.959053,0.985756,0.981339,0.971300,04:08
69,0.530283,0.139983,0.959616,0.988295,0.983563,0.972772,04:09
70,0.592404,0.182041,0.959430,0.988200,0.982946,0.972502,04:08
71,0.515151,0.167712,0.959193,0.986941,0.985078,0.972601,04:08
72,0.543059,0.132303,0.957321,0.986028,0.982326,0.970749,04:08
73,0.567872,0.180880,0.958790,0.986970,0.982483,0.971759,04:08
74,0.579578,0.124636,0.958155,0.987234,0.981337,0.971220,04:08
75,0.456406,0.104186,0.961585,0.988561,0.982831,0.973640,04:08
76,0.513922,0.158761,0.959850,0.988500,0.981189,0.972348,04:08
77,0.491494,0.107743,0.960604,0.986061,0.981737,0.972251,04:09
78,0.461162,0.094191,0.962498,0.988838,0.982972,0.974202,04:08
79,0.486166,0.111449,0.961089,0.988127,0.986525,0.974208,04:08
80,0.494407,0.149585,0.959817,0.988572,0.983762,0.972992,04:08
81,0.568118,0.171159,0.959256,0.988365,0.984255,0.972783,04:08
82,0.524853,0.150211,0.960786,0.988728,0.983830,0.973533,04:08
83,0.490466,0.148238,0.960376,0.988056,0.984767,0.973394,04:08
