epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.665465,0.097546,0.957925,0.984535,0.983725,0.971027,03:33
1,0.623354,0.093316,0.961879,0.984696,0.981351,0.972451,03:33
2,0.625004,0.093964,0.961708,0.985104,0.980185,0.972176,03:33
3,0.619467,0.100998,0.960946,0.983819,0.979250,0.971240,03:33
4,0.604492,0.098087,0.961600,0.985491,0.978789,0.971870,03:33
5,0.635015,0.093738,0.960259,0.985277,0.980050,0.971461,03:33
6,0.630009,0.099841,0.960685,0.983546,0.975712,0.970157,03:33
7,0.607750,0.097307,0.960444,0.984850,0.978939,0.971169,03:33
8,0.602021,0.094906,0.960352,0.985208,0.976256,0.970542,03:33
9,0.607850,0.096225,0.961883,0.984778,0.981919,0.972615,03:33
10,0.615671,0.096586,0.961682,0.985153,0.982101,0.972654,03:34
11,0.594228,0.093732,0.963021,0.984378,0.983240,0.973415,03:34
12,0.580120,0.094198,0.962508,0.985226,0.980746,0.972747,03:33
13,0.602257,0.087504,0.964287,0.986478,0.982973,0.974506,03:34
14,0.576655,0.089969,0.965603,0.986363,0.981849,0.974854,03:33
15,0.585632,0.089337,0.964485,0.986150,0.979312,0.973608,03:34
16,0.587587,0.092327,0.964199,0.986825,0.980414,0.973909,03:34
17,0.571516,0.091338,0.963966,0.986075,0.980347,0.973589,03:33
18,0.577689,0.091899,0.964840,0.986131,0.982280,0.974523,03:34
19,0.562579,0.093203,0.962524,0.987987,0.982727,0.973941,03:33
20,0.541910,0.091265,0.965322,0.986597,0.981345,0.974647,03:33
21,0.584580,0.093503,0.963329,0.986001,0.981771,0.973608,03:33
22,0.577575,0.092850,0.964340,0.985605,0.982289,0.974143,03:34
23,0.577823,0.095004,0.963411,0.986050,0.981520,0.973598,03:33
24,0.547374,0.093574,0.963874,0.986088,0.983313,0.974287,03:34
25,0.538496,0.093591,0.964299,0.985846,0.981381,0.973956,03:33
26,0.543436,0.092941,0.963773,0.986587,0.979516,0.973412,03:33
27,0.539623,0.090651,0.965061,0.986682,0.981733,0.974634,03:33
28,0.538441,0.092342,0.966041,0.986860,0.982044,0.975247,03:34
29,0.517140,0.091535,0.966018,0.986661,0.983061,0.975440,03:33
30,0.535978,0.092938,0.965335,0.986234,0.982836,0.974935,03:33
31,0.549851,0.091695,0.965351,0.987249,0.982262,0.975053,03:34
32,0.527471,0.092302,0.966253,0.986631,0.982077,0.975303,03:34
33,0.534213,0.095893,0.963939,0.986266,0.981616,0.973940,03:34
34,0.519868,0.092574,0.965767,0.986371,0.981229,0.974783,03:33
35,0.534289,0.093391,0.964116,0.986448,0.982011,0.974173,03:33
36,0.501002,0.091623,0.965821,0.986177,0.981753,0.974893,03:33
37,0.513107,0.094227,0.965328,0.985811,0.982010,0.974620,03:33
38,0.546653,0.091131,0.965173,0.985577,0.981536,0.974365,03:33
39,0.536319,0.093369,0.964841,0.986140,0.981530,0.974338,03:34
40,0.508290,0.092344,0.965433,0.986744,0.981816,0.974856,03:33
41,0.513482,0.092970,0.964762,0.986330,0.982119,0.974493,03:34
42,0.520272,0.093134,0.965819,0.987178,0.982052,0.975217,03:34
43,0.552721,0.092378,0.965268,0.986430,0.981367,0.974583,03:33
44,0.535973,0.092633,0.965256,0.986343,0.981567,0.974605,03:34
45,0.515254,0.092560,0.964593,0.986871,0.981861,0.974479,03:33
46,0.537888,0.093422,0.965536,0.986287,0.981795,0.974788,03:34
47,0.535562,0.092701,0.965700,0.986589,0.982194,0.975046,03:34
48,0.533686,0.093090,0.966368,0.986529,0.981865,0.975282,03:33
49,0.500837,0.093701,0.965378,0.986788,0.981493,0.974759,03:34
50,0.505818,0.095053,0.965343,0.986472,0.981781,0.974735,03:34
51,0.554324,0.091623,0.965927,0.986822,0.982422,0.975275,03:34
52,0.498791,0.092739,0.965460,0.986707,0.982105,0.974933,03:33
53,0.527043,0.091160,0.965383,0.986379,0.981866,0.974753,03:34
54,0.534313,0.090714,0.965733,0.986281,0.982085,0.974958,03:34
55,0.555675,0.090010,0.965905,0.986246,0.982038,0.975024,03:34
56,0.545457,0.090236,0.965981,0.986274,0.981826,0.975015,03:34
57,0.532175,0.091204,0.965326,0.986895,0.982065,0.974903,03:34
58,0.526176,0.091829,0.965479,0.986590,0.981813,0.974840,03:34
59,0.516462,0.091422,0.965073,0.986175,0.981983,0.974576,03:34
60,0.528920,0.090653,0.965642,0.986441,0.981746,0.974868,03:35
61,0.533254,0.091056,0.965340,0.986767,0.982113,0.974890,03:34
