epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.334534,0.297840,0.887654,0.952258,0.929382,0.914237,03:33
1,1.147645,0.204338,0.921729,0.966351,0.959297,0.942277,03:33
2,1.070955,0.171747,0.928702,0.968446,0.957421,0.945818,03:33
3,1.015820,0.189310,0.938455,0.967698,0.955427,0.950009,03:33
4,0.952242,0.147787,0.941183,0.971195,0.965693,0.954813,03:33
5,0.937989,0.124789,0.948568,0.979133,0.965972,0.960560,03:33
6,0.910163,0.123411,0.951977,0.976864,0.974327,0.963786,03:33
7,0.867674,0.118062,0.953340,0.980115,0.970945,0.964435,03:33
8,0.836927,0.111398,0.954123,0.980149,0.974033,0.965607,03:33
9,0.832672,0.109343,0.952092,0.980702,0.975387,0.965068,03:33
10,0.834240,0.107914,0.957914,0.981653,0.973774,0.967814,03:33
11,0.783429,0.108414,0.956910,0.979899,0.981271,0.968747,03:33
12,0.779673,0.103860,0.959125,0.982852,0.979283,0.970096,03:33
13,0.804477,0.102280,0.959325,0.984541,0.978774,0.970491,03:34
14,0.775410,0.103780,0.959085,0.982290,0.978565,0.969756,03:34
15,0.770133,0.099622,0.959528,0.983689,0.974932,0.969419,03:34
16,0.778092,0.100167,0.959874,0.982713,0.974317,0.969195,03:34
17,0.748413,0.096903,0.958180,0.982888,0.976533,0.968945,03:33
18,0.753423,0.097260,0.960238,0.984497,0.978906,0.970970,03:34
19,0.728682,0.097834,0.960123,0.984821,0.980736,0.971451,03:33
20,0.705236,0.096627,0.962324,0.984125,0.977126,0.971475,03:33
21,0.732908,0.096921,0.959417,0.983459,0.976998,0.969823,03:34
22,0.726423,0.095651,0.961253,0.985231,0.975560,0.970825,03:34
23,0.720081,0.097836,0.960626,0.983836,0.983166,0.972064,03:34
24,0.686005,0.094466,0.961467,0.983867,0.983197,0.972499,03:34
25,0.683667,0.094208,0.959897,0.983846,0.978383,0.970506,03:34
26,0.682175,0.093104,0.963374,0.983391,0.974922,0.971265,03:34
27,0.676194,0.093329,0.961015,0.984235,0.980507,0.971693,03:34
28,0.672628,0.093947,0.962105,0.984130,0.980154,0.972124,03:34
29,0.653078,0.091969,0.962960,0.983761,0.979944,0.972406,03:33
30,0.665886,0.094057,0.962028,0.984321,0.982344,0.972680,03:33
31,0.678383,0.093790,0.963909,0.984666,0.977908,0.972598,03:34
32,0.645466,0.094716,0.961952,0.983946,0.982679,0.972632,03:34
33,0.653577,0.095075,0.961959,0.984963,0.980605,0.972372,03:34
34,0.637601,0.094058,0.963600,0.985407,0.977453,0.972515,03:34
35,0.646866,0.092777,0.961620,0.985716,0.981723,0.972670,03:33
36,0.619449,0.093779,0.962145,0.983666,0.978531,0.971621,03:34
37,0.626823,0.093252,0.962518,0.983278,0.980976,0.972322,03:34
38,0.654376,0.090403,0.962809,0.984852,0.980651,0.972780,03:34
39,0.639260,0.089478,0.962820,0.984802,0.977686,0.972032,03:33
40,0.606801,0.090872,0.963644,0.985381,0.978929,0.972900,03:34
41,0.615754,0.092597,0.963278,0.986201,0.975845,0.972150,03:34
42,0.619754,0.090335,0.964067,0.985408,0.978892,0.973109,03:34
43,0.648034,0.092358,0.964126,0.984367,0.977510,0.972532,03:34
44,0.627359,0.089597,0.963397,0.986400,0.983023,0.974054,03:34
45,0.608043,0.092415,0.962567,0.985099,0.977212,0.971861,03:34
46,0.624648,0.091733,0.963712,0.984972,0.974699,0.971774,03:34
47,0.621101,0.089341,0.964524,0.986206,0.980775,0.974007,03:34
48,0.621214,0.090897,0.965791,0.984735,0.978303,0.973655,03:34
49,0.583342,0.090289,0.965574,0.986239,0.977134,0.973630,03:34
50,0.582686,0.091000,0.964910,0.985802,0.983827,0.974862,03:34
51,0.617879,0.090948,0.962375,0.985479,0.981162,0.972848,03:34
52,0.556836,0.091661,0.963850,0.986108,0.982566,0.974094,03:33
53,0.588398,0.089492,0.965191,0.985259,0.981170,0.974203,03:34
54,0.590612,0.090475,0.965077,0.986359,0.980211,0.974181,03:34
55,0.608106,0.090607,0.964689,0.985837,0.980928,0.974036,03:34
56,0.595445,0.089038,0.963989,0.985953,0.980896,0.973707,03:34
57,0.586209,0.089054,0.963999,0.986471,0.981643,0.974028,03:33
58,0.577818,0.091532,0.965169,0.985822,0.981779,0.974485,03:34
59,0.566624,0.090177,0.964248,0.985532,0.982735,0.974191,03:34
