epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,2.079104,0.565409,0.743856,0.879772,0.810510,0.794498,02:56
1,1.857428,0.337613,0.866216,0.943912,0.900615,0.894240,02:56
2,1.725293,0.258662,0.901568,0.955500,0.943562,0.925550,02:56
3,1.662080,0.277594,0.916530,0.968083,0.958313,0.939864,02:56
4,1.590345,0.199825,0.928512,0.969526,0.968551,0.948775,02:56
5,1.549789,0.187424,0.932224,0.975353,0.965125,0.951231,02:56
6,1.526882,0.182638,0.940515,0.977378,0.965739,0.956036,02:56
7,1.510946,0.174689,0.938847,0.976806,0.971468,0.956492,02:56
8,1.479442,0.151533,0.946823,0.979311,0.971644,0.961151,02:56
9,1.463035,0.143428,0.946843,0.982994,0.974434,0.962778,02:56
10,1.438773,0.143485,0.947144,0.980774,0.977626,0.963172,02:56
11,1.415284,0.142341,0.949916,0.981284,0.974013,0.963782,02:56
12,1.396141,0.128853,0.952408,0.982209,0.975966,0.965748,02:56
13,1.381752,0.131975,0.952891,0.983985,0.979822,0.967397,02:56
14,1.380574,0.129680,0.954367,0.982058,0.980813,0.967901,02:56
15,1.339893,0.122178,0.955611,0.982746,0.978404,0.968093,02:56
16,1.328169,0.122647,0.956636,0.984091,0.980100,0.969366,02:56
17,1.338918,0.127825,0.955945,0.984955,0.978613,0.968865,02:56
18,1.305616,0.115543,0.960178,0.985097,0.979212,0.971166,02:56
19,1.337722,0.113862,0.957458,0.984273,0.981182,0.970093,02:56
20,1.314444,0.109114,0.960328,0.983966,0.979139,0.970940,02:56
21,1.328528,0.113580,0.962763,0.984005,0.980353,0.972471,02:56
22,1.289615,0.108161,0.962318,0.985573,0.980074,0.972571,02:56
23,1.284979,0.112483,0.959650,0.986037,0.980447,0.971446,02:56
24,1.275820,0.103090,0.964615,0.986490,0.978576,0.973574,02:56
25,1.274197,0.104245,0.963819,0.986203,0.982912,0.974188,02:56
26,1.267076,0.101591,0.964776,0.985175,0.980004,0.973683,02:56
27,1.280253,0.097905,0.965285,0.984941,0.984622,0.975033,02:56
28,1.258999,0.100635,0.965798,0.987116,0.981810,0.975131,02:57
29,1.243162,0.098698,0.965258,0.984721,0.980973,0.974053,02:56
30,1.249219,0.099705,0.966205,0.986972,0.981676,0.975264,02:57
31,1.256462,0.097494,0.965760,0.986369,0.979757,0.974411,02:57
32,1.243690,0.097371,0.967626,0.986285,0.979377,0.975229,02:56
33,1.248218,0.094335,0.965968,0.987535,0.983011,0.975620,02:56
34,1.224758,0.095081,0.966083,0.985986,0.980528,0.974670,02:56
35,1.225690,0.092285,0.968424,0.986462,0.983093,0.976601,02:56
36,1.229009,0.095983,0.969198,0.986982,0.983297,0.977169,02:56
37,1.221934,0.091920,0.968158,0.986997,0.980004,0.975829,02:56
38,1.206177,0.092212,0.968486,0.986546,0.983210,0.976682,02:56
39,1.203194,0.090389,0.969341,0.986492,0.983733,0.977227,02:56
40,1.216092,0.086704,0.970347,0.986664,0.983697,0.977764,02:56
41,1.193089,0.091151,0.970588,0.988294,0.986005,0.978869,02:56
42,1.197834,0.092466,0.966995,0.987920,0.983832,0.976436,02:56
43,1.182901,0.086429,0.970540,0.987449,0.980433,0.977240,02:56
44,1.193708,0.084079,0.971693,0.987962,0.982039,0.978347,02:56
45,1.181548,0.085664,0.972762,0.988388,0.983051,0.979241,02:56
46,1.190933,0.080946,0.971897,0.987797,0.982933,0.978631,02:57
47,1.164572,0.083486,0.972983,0.987198,0.984662,0.979457,02:56
48,1.181997,0.082339,0.972023,0.989152,0.983643,0.979210,02:56
49,1.187917,0.082037,0.972824,0.987633,0.985295,0.979644,02:56
50,1.168153,0.081841,0.972065,0.988883,0.984960,0.979493,02:57
51,1.163474,0.082950,0.972684,0.986933,0.986324,0.979656,02:56
52,1.164137,0.079616,0.974227,0.989324,0.984096,0.980469,02:56
53,1.150470,0.079800,0.973779,0.989618,0.985333,0.980628,02:57
54,1.159836,0.078470,0.972308,0.988264,0.985714,0.979648,02:57
55,1.161451,0.080457,0.972758,0.988819,0.985730,0.980016,02:56
56,1.150464,0.079940,0.973972,0.988944,0.983351,0.980060,02:56
57,1.149005,0.077376,0.974291,0.988859,0.985026,0.980617,02:56
58,1.156951,0.076941,0.974433,0.989708,0.985639,0.981053,02:56
59,1.140687,0.074417,0.975150,0.990189,0.986442,0.981733,02:56
60,1.154262,0.077933,0.973299,0.989052,0.984837,0.980122,02:57
61,1.143347,0.077497,0.974310,0.989429,0.985030,0.980770,02:57
62,1.139194,0.077574,0.973536,0.987476,0.984186,0.979684,02:56
63,1.138579,0.073462,0.974697,0.988826,0.983931,0.980538,02:57
64,1.130109,0.076777,0.975704,0.988920,0.983596,0.980981,02:57
65,1.125341,0.079050,0.975050,0.989846,0.986062,0.981502,02:57
66,1.131942,0.072731,0.974531,0.990366,0.985126,0.981138,02:57
67,1.125364,0.072705,0.976201,0.989645,0.987454,0.982375,02:56
68,1.120306,0.072589,0.975142,0.989284,0.981772,0.980335,02:57
69,1.111667,0.074270,0.975607,0.990412,0.984587,0.981553,02:57
70,1.123113,0.072422,0.975906,0.990524,0.986624,0.982240,02:57
71,1.134741,0.070798,0.976178,0.990429,0.986197,0.982245,02:56
72,1.106808,0.070092,0.976560,0.990967,0.984596,0.982171,02:56
73,1.107804,0.070274,0.975759,0.990118,0.986143,0.981945,02:57
74,1.119546,0.069145,0.977254,0.990318,0.985589,0.982604,02:57
75,1.108066,0.068581,0.975897,0.990418,0.984735,0.981737,02:57
76,1.111648,0.070860,0.976874,0.990064,0.985683,0.982374,02:56
77,1.104300,0.071131,0.977189,0.989830,0.983492,0.981925,02:56
78,1.096556,0.067954,0.977479,0.990638,0.985964,0.982890,02:56
79,1.077249,0.070001,0.977593,0.990704,0.984555,0.982611,02:57
80,1.101994,0.069632,0.977184,0.990210,0.987168,0.982936,02:56
81,1.087874,0.070439,0.975770,0.990270,0.985886,0.981924,02:57
82,1.089213,0.068860,0.976334,0.991028,0.985302,0.982249,02:56
83,1.074600,0.067630,0.976545,0.990606,0.986915,0.982653,02:56
84,1.106163,0.066753,0.977704,0.990716,0.986109,0.983058,02:57
85,1.078652,0.065975,0.977959,0.990814,0.985958,0.983172,02:57
86,1.093872,0.067014,0.977722,0.990279,0.986835,0.983139,02:57
87,1.080532,0.068726,0.976329,0.990236,0.987071,0.982491,02:57
88,1.069750,0.065911,0.978575,0.990995,0.987390,0.983884,02:57
89,1.077456,0.067397,0.977415,0.990564,0.986748,0.983036,02:57
90,1.056774,0.067486,0.978465,0.990024,0.985533,0.983122,02:56
91,1.081206,0.066938,0.977700,0.990834,0.984740,0.982744,02:56
92,1.073645,0.067148,0.977470,0.990524,0.985561,0.982756,02:57
93,1.069872,0.068822,0.978505,0.990676,0.983887,0.982893,02:56
94,1.062649,0.065833,0.978146,0.990314,0.986435,0.983261,02:57
95,1.055512,0.065396,0.978327,0.991316,0.987780,0.983937,02:56
96,1.081467,0.067085,0.977944,0.990684,0.985574,0.983037,02:57
97,1.072887,0.066055,0.977950,0.990584,0.986361,0.983211,02:57
98,1.066885,0.066035,0.977791,0.990516,0.985049,0.982787,02:56
99,1.059540,0.065198,0.978425,0.991958,0.984878,0.983422,02:57
100,1.040955,0.065177,0.979358,0.991525,0.984844,0.983771,02:57
101,1.070683,0.064419,0.978183,0.991419,0.985069,0.983214,02:57
102,1.058234,0.065808,0.977800,0.990978,0.985610,0.983047,02:56
103,1.064771,0.063479,0.978714,0.990660,0.984732,0.983205,02:57
104,1.052159,0.064672,0.978661,0.991071,0.984856,0.983313,02:56
105,1.051570,0.062602,0.978698,0.991266,0.986644,0.983827,02:57
106,1.046062,0.065190,0.978382,0.990793,0.986480,0.983509,02:56
107,1.036806,0.065596,0.977900,0.990506,0.986560,0.983217,02:57
108,1.045641,0.063952,0.979114,0.991460,0.987626,0.984329,02:57
109,1.038706,0.064136,0.978628,0.991517,0.988257,0.984258,02:57
110,1.053203,0.062982,0.978992,0.991265,0.987796,0.984261,02:56
111,1.053752,0.064030,0.979045,0.991732,0.987199,0.984255,02:56
112,1.038141,0.062271,0.978516,0.991728,0.986452,0.983803,02:56
113,1.053434,0.061028,0.978988,0.991522,0.985364,0.983715,02:57
114,1.043076,0.061297,0.979296,0.991585,0.986516,0.984173,02:57
