epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,2.093211,0.593366,0.760933,0.864028,0.855612,0.810376,02:56
1,1.850776,0.341613,0.856789,0.944732,0.911544,0.892463,02:55
2,1.726260,0.253370,0.910676,0.960025,0.945474,0.931713,02:56
3,1.662235,0.206697,0.915842,0.971452,0.954970,0.939526,02:55
4,1.613970,0.188541,0.929679,0.971886,0.964955,0.949050,02:55
5,1.565002,0.171513,0.938019,0.975990,0.953087,0.951278,02:55
6,1.531890,0.168949,0.939251,0.974129,0.961832,0.953616,02:55
7,1.497901,0.166713,0.945394,0.976156,0.968484,0.958857,02:55
8,1.480071,0.146361,0.942949,0.980068,0.974017,0.959996,02:56
9,1.465637,0.145421,0.948612,0.979165,0.967003,0.960848,02:56
10,1.435834,0.132210,0.949921,0.980451,0.976298,0.964148,02:56
11,1.417477,0.134425,0.954031,0.978605,0.966994,0.963415,02:56
12,1.397311,0.133275,0.954889,0.981118,0.973258,0.966038,02:56
13,1.388299,0.125396,0.958571,0.982405,0.969735,0.967321,02:56
14,1.356364,0.124094,0.955753,0.981077,0.975676,0.967064,02:56
15,1.346810,0.118502,0.959127,0.978790,0.979163,0.969052,02:56
16,1.341173,0.117359,0.960877,0.982422,0.975230,0.969852,02:56
17,1.357535,0.114975,0.961509,0.983496,0.977057,0.970893,02:56
18,1.314609,0.114667,0.959169,0.982253,0.973092,0.968421,02:56
19,1.331538,0.118050,0.959204,0.983361,0.972011,0.968445,02:56
20,1.328321,0.114040,0.964005,0.983902,0.978017,0.972482,02:56
21,1.300732,0.111249,0.963766,0.983452,0.977376,0.972090,02:56
22,1.290129,0.108245,0.962662,0.983243,0.978269,0.971709,02:56
23,1.281952,0.102794,0.965411,0.984538,0.974612,0.972493,02:56
24,1.290932,0.100883,0.966248,0.985136,0.974119,0.972938,02:56
25,1.274153,0.098199,0.966411,0.984511,0.980390,0.974431,02:56
26,1.280175,0.100770,0.965656,0.984232,0.977829,0.973343,02:56
27,1.272980,0.096007,0.968959,0.984761,0.978025,0.975176,02:56
28,1.249697,0.099218,0.965759,0.984152,0.976893,0.973141,02:56
29,1.248887,0.095390,0.967269,0.985116,0.980914,0.975142,02:56
30,1.264773,0.095024,0.968724,0.985630,0.978351,0.975357,02:56
31,1.258792,0.096810,0.964232,0.986261,0.982975,0.974425,02:57
32,1.257167,0.089571,0.968257,0.984697,0.975365,0.974144,02:56
33,1.247680,0.092504,0.968760,0.986482,0.980851,0.976213,02:56
34,1.226897,0.090860,0.969620,0.985097,0.975389,0.974932,02:56
35,1.235505,0.093941,0.969614,0.985695,0.980050,0.976243,02:56
36,1.223505,0.096976,0.969555,0.985292,0.979742,0.976036,02:56
37,1.217358,0.089294,0.971305,0.985796,0.976796,0.976301,02:56
38,1.208168,0.086993,0.971170,0.986124,0.980849,0.977328,02:56
39,1.201489,0.089423,0.972154,0.986648,0.973617,0.976143,02:56
40,1.211751,0.086920,0.973195,0.986306,0.980835,0.978383,02:56
41,1.213599,0.086795,0.970749,0.986410,0.982450,0.977590,02:56
42,1.211255,0.081090,0.973709,0.986369,0.981182,0.978742,02:56
43,1.187950,0.083225,0.970561,0.986895,0.978438,0.976614,02:56
44,1.209361,0.084952,0.973715,0.984632,0.981527,0.978397,02:56
45,1.192481,0.081419,0.971901,0.986904,0.979114,0.977455,02:56
46,1.188085,0.078730,0.973590,0.987615,0.980105,0.978725,02:56
47,1.182087,0.078540,0.973656,0.987388,0.981162,0.978965,02:56
48,1.185180,0.081513,0.971726,0.987603,0.977973,0.977257,02:56
49,1.176896,0.080547,0.975602,0.986311,0.980854,0.979592,02:57
50,1.154693,0.079864,0.973857,0.987741,0.980192,0.978912,02:56
51,1.153460,0.078343,0.973797,0.986939,0.979277,0.978453,02:57
52,1.156974,0.078726,0.974216,0.987218,0.981518,0.979292,02:56
53,1.143884,0.078735,0.973804,0.986601,0.979765,0.978493,02:56
54,1.155011,0.075198,0.974850,0.987869,0.980338,0.979477,02:56
55,1.167351,0.077796,0.974618,0.988154,0.979850,0.979310,02:56
56,1.166111,0.078675,0.975740,0.988288,0.979285,0.979763,02:57
57,1.144697,0.075038,0.975721,0.987890,0.984972,0.981076,02:56
58,1.146820,0.076657,0.975406,0.986833,0.981783,0.979857,02:56
59,1.135815,0.078154,0.975322,0.987077,0.982328,0.980012,02:56
60,1.152909,0.075951,0.975625,0.987592,0.980012,0.979713,02:56
61,1.150710,0.073561,0.975024,0.988483,0.978480,0.979253,02:56
62,1.122953,0.076009,0.975689,0.988009,0.983580,0.980742,02:56
63,1.148985,0.074116,0.977073,0.987487,0.982017,0.980913,02:56
64,1.139819,0.072476,0.976504,0.987323,0.982878,0.980802,02:57
65,1.121891,0.071608,0.975997,0.987872,0.979625,0.979873,02:56
66,1.141723,0.070074,0.976990,0.988063,0.980325,0.980592,02:56
67,1.118892,0.067200,0.977461,0.988863,0.985472,0.982314,02:56
68,1.127213,0.069046,0.977591,0.988483,0.982838,0.981626,02:56
69,1.116744,0.072854,0.977371,0.989152,0.980201,0.981024,02:56
70,1.132578,0.068388,0.976272,0.988518,0.984522,0.981396,02:56
71,1.142687,0.067404,0.977578,0.989304,0.981694,0.981539,02:56
72,1.120159,0.070799,0.978742,0.987777,0.981826,0.981772,02:56
73,1.113448,0.067501,0.977942,0.988346,0.984414,0.982161,02:57
74,1.125159,0.069903,0.979193,0.988958,0.982085,0.982357,02:56
75,1.126617,0.068166,0.978998,0.988309,0.981835,0.982035,02:56
76,1.118041,0.070955,0.977736,0.989136,0.982703,0.981828,02:56
77,1.104908,0.068205,0.977930,0.989368,0.982144,0.981843,02:57
78,1.110654,0.068480,0.978916,0.989355,0.983746,0.982733,02:57
79,1.080555,0.071235,0.976381,0.988975,0.982088,0.980956,02:56
80,1.096605,0.068342,0.978491,0.988453,0.981544,0.981745,02:56
