epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.114005,0.462640,0.749117,0.868984,0.811554,0.794693,11:18
1,0.960526,0.258104,0.874294,0.962946,0.947279,0.914703,11:15
2,0.844383,0.232449,0.891632,0.960320,0.931975,0.918890,11:16
3,0.892833,0.179637,0.918475,0.972018,0.960717,0.942421,11:15
4,0.835180,0.157867,0.920212,0.975965,0.962651,0.944760,11:15
5,0.744979,0.155490,0.921157,0.971791,0.959232,0.943334,11:15
6,0.691996,0.146675,0.925417,0.979944,0.968654,0.949858,11:15
7,0.775445,0.135122,0.930925,0.972263,0.967923,0.950509,11:15
8,0.778273,0.137327,0.936287,0.975246,0.959216,0.951759,11:16
9,0.745341,0.126453,0.939260,0.980270,0.967605,0.956599,11:16
10,0.676705,0.124317,0.943567,0.979630,0.969911,0.959169,11:16
11,0.631887,0.118278,0.942645,0.976910,0.970326,0.958132,11:16
12,0.692616,0.120804,0.943982,0.979376,0.969287,0.959157,11:15
13,0.686240,0.109524,0.950624,0.979704,0.970963,0.962979,11:15
14,0.627498,0.115942,0.944815,0.982247,0.971872,0.960937,11:16
15,0.677494,0.108251,0.949919,0.983130,0.971871,0.963710,11:15
16,0.649238,0.105427,0.948768,0.983316,0.977594,0.964612,11:16
17,0.642033,0.110587,0.948300,0.982591,0.965322,0.961128,11:15
18,0.604776,0.107905,0.947661,0.982893,0.971333,0.962387,11:17
