epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.943623,0.100724,0.956495,0.983848,0.973638,0.967619,11:40
1,0.842004,0.090165,0.957324,0.985379,0.975378,0.968851,11:37
2,0.829559,0.094170,0.957560,0.984761,0.976510,0.969098,11:38
3,0.820674,0.089024,0.958725,0.985541,0.978382,0.970343,11:38
4,0.775580,0.087738,0.957905,0.985273,0.977264,0.969587,11:38
5,0.832829,0.092501,0.958963,0.985918,0.976749,0.970148,11:39
6,0.821908,0.093802,0.958550,0.984665,0.977584,0.969837,11:39
7,0.791715,0.089390,0.957829,0.985603,0.978185,0.969862,11:38
8,0.784975,0.090446,0.958460,0.985475,0.980328,0.970681,11:38
9,0.780606,0.089886,0.958298,0.985099,0.978992,0.970172,11:38
10,0.798341,0.087776,0.958216,0.986567,0.977468,0.970117,11:39
11,0.766830,0.088042,0.959493,0.985806,0.977764,0.970639,11:40
12,0.738128,0.086839,0.958937,0.986215,0.976970,0.970265,11:39
13,0.799638,0.086345,0.958703,0.986415,0.977608,0.970357,11:40
14,0.771069,0.088385,0.959812,0.986473,0.977738,0.970959,11:39
15,0.774973,0.085745,0.960588,0.986135,0.978535,0.971461,11:42
16,0.790724,0.086006,0.960388,0.986146,0.977798,0.971180,11:39
17,0.761269,0.085621,0.959714,0.986095,0.979936,0.971365,11:40
18,0.781843,0.087291,0.959383,0.986101,0.979316,0.971045,11:40
19,0.750733,0.087096,0.959372,0.986889,0.979395,0.971257,11:39
20,0.720661,0.086733,0.960292,0.985877,0.979598,0.971515,11:38
21,0.782056,0.086828,0.959831,0.986385,0.980052,0.971525,11:39
22,0.770066,0.087513,0.960635,0.986229,0.979121,0.971655,11:38
23,0.775351,0.086415,0.960903,0.987030,0.978179,0.971754,11:39
24,0.738215,0.086995,0.959827,0.986270,0.978274,0.971049,11:39
25,0.732288,0.086047,0.959534,0.986581,0.979299,0.971237,11:39
26,0.737646,0.086533,0.959599,0.986097,0.977950,0.970811,11:39
27,0.729791,0.085310,0.960958,0.986085,0.977334,0.971334,11:39
28,0.727564,0.087532,0.959862,0.987436,0.978668,0.971457,11:40
29,0.699691,0.085964,0.960505,0.986224,0.980218,0.971863,11:38
30,0.720709,0.085244,0.960577,0.986748,0.978982,0.971721,11:39
31,0.750187,0.085370,0.960743,0.986270,0.979205,0.971740,11:39
32,0.706691,0.085568,0.961353,0.986195,0.980539,0.972360,11:39
33,0.716327,0.085006,0.961707,0.985908,0.979735,0.972264,11:40
34,0.699744,0.086428,0.960690,0.986277,0.977693,0.971337,11:39
35,0.728113,0.085602,0.961384,0.986642,0.978932,0.972086,11:39
36,0.688606,0.085836,0.960925,0.986202,0.979249,0.971825,11:38
37,0.701306,0.086019,0.960748,0.986635,0.979738,0.971967,11:39
38,0.750193,0.086390,0.960558,0.986227,0.979255,0.971650,11:39
39,0.737508,0.086425,0.960438,0.986064,0.978273,0.971303,11:38
40,0.694906,0.086786,0.960480,0.986086,0.979250,0.971574,11:39
41,0.705321,0.086023,0.960694,0.986876,0.977763,0.971507,11:39
42,0.711995,0.085434,0.961069,0.986972,0.980448,0.972390,11:39
43,0.740041,0.086186,0.962165,0.986873,0.978797,0.972500,11:39
44,0.727038,0.085264,0.960277,0.987045,0.980437,0.972009,11:39
45,0.699827,0.085749,0.960403,0.986832,0.980897,0.972134,11:38
46,0.719894,0.086533,0.959849,0.986662,0.980705,0.971766,11:39
47,0.730023,0.086961,0.960335,0.987162,0.980950,0.972195,11:39
48,0.714601,0.086422,0.959912,0.986917,0.978935,0.971419,11:38
49,0.672693,0.085753,0.960471,0.986967,0.979696,0.971901,11:38
50,0.678407,0.085223,0.961101,0.987005,0.978940,0.972036,11:38
51,0.732408,0.086379,0.961340,0.987478,0.979843,0.972500,11:38
52,0.669879,0.085465,0.961334,0.986860,0.980311,0.972460,11:38
53,0.698350,0.085599,0.960612,0.987326,0.980165,0.972179,11:38
54,0.708216,0.085999,0.960766,0.987481,0.978405,0.971855,11:38
55,0.728003,0.086277,0.960345,0.987410,0.979466,0.971892,11:38
56,0.708019,0.085247,0.961751,0.987497,0.979092,0.972523,11:39
57,0.696449,0.084648,0.962385,0.986691,0.981328,0.973198,11:38
58,0.681087,0.084981,0.961607,0.987346,0.980465,0.972756,11:38
59,0.679379,0.084640,0.961863,0.987235,0.978849,0.972452,11:39
60,0.691355,0.085525,0.961195,0.987123,0.980492,0.972501,11:38
61,0.693848,0.085533,0.961343,0.987207,0.980483,0.972594,11:38
62,0.669381,0.085032,0.960935,0.987181,0.979531,0.972145,11:39
63,0.691057,0.084908,0.960964,0.987258,0.981025,0.972553,11:39
64,0.696472,0.085027,0.961106,0.987305,0.979435,0.972238,11:38
65,0.690082,0.085069,0.961883,0.987358,0.981356,0.973120,11:39
66,0.713243,0.084917,0.961503,0.987221,0.981217,0.972861,11:40
67,0.712411,0.084981,0.961537,0.987459,0.978961,0.972373,11:39
68,0.679908,0.085342,0.961295,0.987854,0.979039,0.972371,11:39
69,0.675739,0.085419,0.960726,0.986708,0.979545,0.971926,11:39
70,0.697573,0.084785,0.961342,0.988178,0.978919,0.972445,11:38
71,0.688807,0.084631,0.961277,0.987684,0.978982,0.972305,11:40
72,0.665510,0.085172,0.961808,0.987725,0.981182,0.973131,11:39
73,0.737474,0.085269,0.961252,0.987211,0.978870,0.972146,11:40
74,0.698586,0.084856,0.961980,0.987472,0.978416,0.972462,11:39
75,0.653276,0.084631,0.961980,0.986904,0.978602,0.972367,11:39
76,0.696403,0.085102,0.961553,0.987709,0.978585,0.972350,11:39
77,0.692558,0.085049,0.961552,0.987652,0.978844,0.972400,11:40
78,0.692132,0.085195,0.961699,0.987597,0.978378,0.972343,11:38
79,0.659729,0.084704,0.962051,0.987730,0.979528,0.972840,11:39
80,0.697262,0.084949,0.961810,0.987675,0.978968,0.972566,11:39
81,0.717366,0.084937,0.962091,0.987467,0.978960,0.972652,11:39
82,0.684201,0.084834,0.961561,0.987737,0.979711,0.972643,11:38
83,0.710034,0.085000,0.961553,0.987587,0.979330,0.972506,11:39
84,0.652299,0.084847,0.961611,0.987956,0.979213,0.972598,11:39
85,0.675634,0.084967,0.961561,0.987693,0.979785,0.972650,11:39
86,0.704274,0.085101,0.961522,0.987867,0.979222,0.972533,11:39
