epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,0.962009,0.426436,0.791461,0.914304,0.874564,0.842947,11:44
1,0.775614,0.250018,0.880136,0.957088,0.933535,0.912724,11:43
2,0.713027,0.206803,0.886947,0.964513,0.945105,0.920878,11:42
3,0.638673,0.171119,0.921010,0.961548,0.955703,0.939818,11:43
4,0.627764,0.148044,0.926634,0.969607,0.952135,0.943753,11:43
5,0.608229,0.145003,0.924335,0.973563,0.954387,0.944155,11:43
6,0.578123,0.129619,0.935579,0.972043,0.958371,0.950393,11:43
7,0.569454,0.135193,0.936790,0.974553,0.966924,0.953764,11:43
8,0.554270,0.149634,0.933663,0.972591,0.965980,0.951474,11:42
9,0.539831,0.130256,0.928837,0.973117,0.961022,0.947953,11:41
10,0.526827,0.122589,0.943449,0.974096,0.963338,0.956083,11:42
11,0.515023,0.114174,0.940931,0.979491,0.967053,0.957101,11:41
12,0.501010,0.114023,0.946407,0.976583,0.967374,0.959192,11:42
13,0.479618,0.113031,0.943492,0.981205,0.971768,0.959989,11:42
14,0.471438,0.112429,0.945060,0.979936,0.969799,0.959964,11:42
15,0.470939,0.107933,0.947687,0.977860,0.968526,0.960440,11:42
16,0.471268,0.108179,0.946070,0.981271,0.966041,0.959863,11:41
17,0.456921,0.103524,0.947915,0.981404,0.970935,0.962042,11:41
18,0.454030,0.102580,0.949026,0.981308,0.969049,0.962102,11:42
19,0.449681,0.108903,0.948458,0.981940,0.974458,0.963329,11:41
20,0.431638,0.103489,0.950572,0.982537,0.971369,0.963762,11:41
21,0.435829,0.100974,0.951308,0.980943,0.974117,0.964419,11:42
22,0.410578,0.100195,0.951325,0.983208,0.967394,0.963313,11:41
23,0.423129,0.102125,0.951120,0.982561,0.970710,0.963878,11:41
24,0.418876,0.108472,0.945099,0.980028,0.970637,0.960215,11:43
25,0.408277,0.096799,0.952593,0.983240,0.971520,0.964987,11:42
26,0.428924,0.109522,0.948653,0.980728,0.972165,0.962550,11:41
27,0.407054,0.096898,0.954855,0.984300,0.971169,0.966295,11:41
28,0.394557,0.097733,0.950702,0.983571,0.972534,0.964378,11:41
29,0.399033,0.101487,0.947962,0.984835,0.976758,0.964379,11:41
30,0.385617,0.097727,0.953657,0.982854,0.975463,0.966408,11:41
31,0.383359,0.097591,0.950236,0.984527,0.976656,0.965414,11:41
32,0.400971,0.100365,0.952153,0.982438,0.979643,0.966597,11:42
33,0.365933,0.099740,0.952944,0.983311,0.974660,0.965965,11:42
34,0.406762,0.115880,0.949892,0.979168,0.969408,0.962090,11:41
35,0.384458,0.111471,0.950975,0.979612,0.974668,0.964057,11:43
36,0.378925,0.101071,0.952534,0.980677,0.977084,0.965707,11:42
37,0.363651,0.108020,0.950978,0.982615,0.977715,0.965572,11:42
38,0.366048,0.099855,0.951893,0.982447,0.972109,0.964585,11:41
39,0.368510,0.097723,0.954007,0.982952,0.975381,0.966587,11:42
40,0.357189,0.096752,0.955195,0.983403,0.974616,0.967102,11:42
41,0.359848,0.100068,0.953351,0.984010,0.974321,0.966258,11:42
42,0.362546,0.104234,0.952434,0.980184,0.971624,0.964169,11:41
43,0.356457,0.101264,0.952809,0.982824,0.972740,0.965296,11:42
