epoch,train_loss,valid_loss,metric_grapheme,metric_vowel,metric_consonant,metric_tot,time
0,1.670822,0.316321,0.906048,0.967063,0.959811,0.934742,07:19
1,1.746873,0.345430,0.907038,0.960647,0.922329,0.924263,07:17
2,1.595269,0.348097,0.889017,0.969375,0.950897,0.924576,07:17
3,1.854029,0.806455,0.872208,0.896257,0.936878,0.894388,07:18
4,1.397911,0.326852,0.896212,0.972395,0.958145,0.930741,07:17
5,1.484754,0.338357,0.906785,0.967258,0.945999,0.931707,07:17
6,1.653412,0.372559,0.917124,0.824397,0.953071,0.902929,07:18
7,1.571111,0.310627,0.922277,0.949587,0.944448,0.934647,07:18
8,1.259741,0.273364,0.912127,0.975709,0.965428,0.941348,07:17
9,1.578612,0.604653,0.917303,0.834996,0.938582,0.902046,07:17
10,1.357727,2.118749,0.918269,0.976246,0.744757,0.889385,07:18
11,1.020875,0.313506,0.918516,0.953538,0.920767,0.927834,07:18
12,1.188084,0.237395,0.932199,0.961465,0.931972,0.939459,07:18
13,1.374524,0.284883,0.902493,0.973728,0.939404,0.929529,07:17
14,1.061414,2.805588,0.879691,0.958803,0.486450,0.801159,07:18
15,1.163808,0.251670,0.923478,0.958301,0.966247,0.942876,07:18
16,1.162392,0.710535,0.938230,0.866803,0.953594,0.924214,07:18
17,1.579713,0.287798,0.906584,0.971405,0.966426,0.937750,07:18
18,0.936435,0.472375,0.935629,0.879036,0.961763,0.928014,07:17
19,1.361642,0.274162,0.916585,0.970311,0.959372,0.940713,07:18
20,1.344780,4.040345,0.930820,0.975178,0.246414,0.770808,07:18
21,1.352895,0.263908,0.935396,0.966605,0.959622,0.949255,07:18
22,1.004472,0.678776,0.935944,0.791039,0.959819,0.905686,07:18
23,1.096713,0.345412,0.912065,0.964214,0.961957,0.937575,07:18
24,0.694662,0.145332,0.945293,0.977438,0.963328,0.957838,07:18
25,0.582635,0.142494,0.946136,0.975149,0.959180,0.956650,07:18
26,0.535455,0.131296,0.947338,0.976388,0.968442,0.959877,07:18
27,0.551001,0.142477,0.945794,0.973879,0.969444,0.958728,07:18
28,0.619488,0.659520,0.935863,0.978576,0.540896,0.847800,07:17
29,0.653558,0.164628,0.946678,0.974428,0.919452,0.946809,07:18
30,0.528802,0.136513,0.943882,0.977870,0.968534,0.958542,07:18
31,0.744864,0.133840,0.948599,0.975173,0.955515,0.956972,07:18
32,0.597628,0.162221,0.948023,0.958324,0.946463,0.950208,07:18
33,0.577753,0.157559,0.943893,0.981254,0.959658,0.957175,07:18
34,0.736980,0.145280,0.946614,0.974265,0.960333,0.956957,07:19
35,0.575079,0.146689,0.946606,0.978377,0.960809,0.958100,07:18
36,0.673758,0.144633,0.947508,0.974788,0.969879,0.959921,07:18
37,0.590465,0.135963,0.947172,0.977650,0.952306,0.956075,07:18
38,0.421581,0.110789,0.952680,0.980733,0.974091,0.965046,07:18
39,0.486171,0.118440,0.950623,0.981255,0.967106,0.962402,07:18
40,0.530973,0.117376,0.953221,0.981665,0.970862,0.964742,07:18
41,0.544919,0.112635,0.950976,0.981937,0.970128,0.963505,07:18
42,0.400203,0.111056,0.953394,0.981916,0.966667,0.963843,07:18
43,0.397054,0.110821,0.953113,0.982348,0.974095,0.965667,07:18
44,0.491130,0.116660,0.950063,0.980525,0.961706,0.960590,07:19
45,0.424301,0.108927,0.954236,0.981826,0.966427,0.964181,07:18
46,0.568137,0.140396,0.941391,0.982198,0.963946,0.957231,07:18
